probe,probe_x_m,probe_y_m,side,x_bin_m,coherence_f1,coherence_f2,frequency_f1_hz,frequency_f2_hz
0,0.01,0.0,fin_z_min,-0.0136673275,0.7082315494108454,0.9766291159464305,3.1250000000000666,6.640625000000141
0,0.01,0.0,fin_z_min,-0.012975037499999998,0.7081689572914732,0.9766369464177216,3.1250000000000666,6.640625000000141
0,0.01,0.0,fin_z_min,-0.0119366025,0.708008168620296,0.9766353608627073,3.1250000000000666,6.640625000000141
0,0.01,0.0,fin_z_min,-0.0108981675,0.7078677007685942,0.9766104502177191,3.1250000000000666,6.640625000000141
0,0.01,0.0,fin_z_min,-0.0098597325,0.7077172654491638,0.9765718126329246,3.1250000000000666,6.640625000000141
0,0.01,0.0,fin_z_min,-0.008821297499999999,0.7075005205751785,0.9765855946938912,3.1250000000000666,6.640625000000141
0,0.01,0.0,fin_z_min,-0.0077828625,0.7072387063165082,0.9765599433170153,3.1250000000000666,6.640625000000141
0,0.01,0.0,fin_z_min,-0.0067444275000000005,0.7070472925880794,0.9763782945016722,3.1250000000000666,6.640625000000141
0,0.01,0.0,fin_z_min,-0.0063982825,0.7073404653575194,0.9763022973226322,3.1250000000000666,6.640625000000141
0,0.01,0.0,fin_z_min,-0.0060521375,0.7065433841816222,0.9764772911227965,3.1250000000000666,6.640625000000141
0,0.01,0.0,fin_z_min,-0.0057059925,0.7065862643333506,0.9767539228488089,3.1250000000000666,6.640625000000141
0,0.01,0.0,fin_z_min,-0.005359847500000001,0.7060878614639234,0.9772812162844312,3.1250000000000666,6.640625000000141
0,0.01,0.0,fin_z_min,-0.005013702500000001,0.7055051762634418,0.9769154291391487,3.1250000000000666,6.640625000000141
0,0.01,0.0,fin_z_min,-0.0046675575,0.7052835668877377,0.9776667101461752,3.1250000000000666,6.640625000000141
0,0.01,0.0,fin_z_min,-0.0043214125,0.7048242343461381,0.9783823349223807,3.1250000000000666,6.640625000000141
0,0.01,0.0,fin_z_min,-0.003975267500000001,0.7046142149316823,0.9773162379552424,3.1250000000000666,6.640625000000141
0,0.01,0.0,fin_z_min,-0.003629122500000001,0.7037481980286004,0.979064342560875,3.1250000000000666,6.640625000000141
0,0.01,0.0,fin_z_min,-0.0032829775,0.7036277027581128,0.9793665692600968,3.1250000000000666,6.640625000000141
0,0.01,0.0,fin_z_min,-0.0029368325,0.7035390268616186,0.9776393237307779,3.1250000000000666,6.640625000000141
0,0.01,0.0,fin_z_min,-0.002590687500000001,0.7017291942529741,0.9804128695945307,3.1250000000000666,6.640625000000141
0,0.01,0.0,fin_z_min,-0.002244542500000001,0.7000301969658285,0.9811062481302032,3.1250000000000666,6.640625000000141
0,0.01,0.0,fin_z_min,-0.0018983975000000002,0.7013408325897438,0.9783685727917317,3.1250000000000666,6.640625000000141
0,0.01,0.0,fin_z_min,-0.0015522525000000002,0.6980719315433658,0.9816516478755186,3.1250000000000666,6.640625000000141
0,0.01,0.0,fin_z_min,-0.0012061075000000011,0.6978247764613265,0.9816818949752599,3.1250000000000666,6.640625000000141
0,0.01,0.0,fin_z_min,-0.0008599625000000012,0.6997693519412791,0.9784517302066313,3.1250000000000666,6.640625000000141
0,0.01,0.0,fin_z_min,-0.0005138175000000004,0.6946593354707364,0.980828429769943,3.1250000000000666,6.640625000000141
0,0.01,0.0,fin_z_min,-0.0001676725000000004,0.6979941638166266,0.9792312230104889,3.1250000000000666,6.640625000000141
0,0.01,0.0,fin_z_min,0.0001784724999999987,0.6862758110529535,0.9802022682773961,3.1250000000000666,6.640625000000141
0,0.01,0.0,fin_z_min,0.0005246174999999987,0.6967689383313348,0.9803925962527976,3.1250000000000666,6.640625000000141
0,0.01,0.0,fin_z_min,0.0008707624999999995,0.6951940047261171,0.9798626213897026,3.1250000000000666,6.640625000000141
0,0.01,0.0,fin_z_min,0.0012169074999999994,0.671311929458038,0.9810480678297473,3.1250000000000666,6.640625000000141
0,0.01,0.0,fin_z_min,0.0015630524999999985,0.6915843008954903,0.9814220428388173,3.1250000000000666,6.640625000000141
0,0.01,0.0,fin_z_min,0.0019091974999999994,0.6919967230727305,0.9805596842131867,3.1250000000000666,6.640625000000141
0,0.01,0.0,fin_z_min,0.0022553425,0.6386897846153935,0.9772064507019654,3.1250000000000666,6.640625000000141
0,0.01,0.0,fin_z_min,0.0026014874999999993,0.6872788694361328,0.9823652828167505,3.1250000000000666,6.640625000000141
0,0.01,0.0,fin_z_min,0.0029476324999999984,0.688316918273581,0.9816004536568731,3.1250000000000666,6.640625000000141
0,0.01,0.0,fin_z_min,0.0032937774999999975,0.6812420877605734,0.9837050659370448,3.1250000000000666,6.640625000000141
0,0.01,0.0,fin_z_min,0.0036399224999999983,0.6109767166940054,0.9669371828340823,3.1250000000000666,6.640625000000141
0,0.01,0.0,fin_z_min,0.003986067499999999,0.6846873996408681,0.9830806799106729,3.1250000000000666,6.640625000000141
0,0.01,0.0,fin_z_min,0.004332212499999998,0.6815076528680141,0.9850894537152973,3.1250000000000666,6.640625000000141
0,0.01,0.0,fin_z_min,0.004678357499999999,0.7345567150663428,0.9421320090663431,3.1250000000000666,6.640625000000141
0,0.01,0.0,fin_z_min,0.0050245025,0.697430660056617,0.985271594428575,3.1250000000000666,6.640625000000141
0,0.01,0.0,fin_z_min,0.005370647499999999,0.7123026569823271,0.984891812384323,3.1250000000000666,6.640625000000141
0,0.01,0.0,fin_z_min,0.005716792499999998,0.5387948919665863,0.9206098857350438,3.1250000000000666,6.640625000000141
0,0.01,0.0,fin_z_min,0.006062937499999997,0.7609100849864704,0.9656700076963688,3.1250000000000666,6.640625000000141
0,0.01,0.0,fin_z_min,0.006409082499999998,0.7697008444277068,0.9591642837503801,3.1250000000000666,6.640625000000141
0,0.01,0.0,fin_z_min,0.006755227499999999,0.76111150207957,0.9620531164844033,3.1250000000000666,6.640625000000141
0,0.01,0.0,fin_z_min,0.007447517499999999,0.6885584989214811,0.936638248484271,3.1250000000000666,6.640625000000141
0,0.01,0.0,fin_z_min,0.0077936624999999995,0.6557086218794531,0.9435876702986322,3.1250000000000666,6.640625000000141
0,0.01,0.0,fin_z_min,0.008485952499999998,0.4661208802275546,0.9457116742894066,3.1250000000000666,6.640625000000141
0,0.01,0.0,fin_z_min,0.008832097499999997,0.4529968382366807,0.9666513288184815,3.1250000000000666,6.640625000000141
0,0.01,0.0,fin_z_min,0.009524387499999998,0.2676190430741307,0.9820978870669425,3.1250000000000666,6.640625000000141
0,0.01,0.0,fin_z_min,0.009870532499999998,0.2931713488196667,0.9858931763574819,3.1250000000000666,6.640625000000141
0,0.01,0.0,fin_z_min,0.010216677499999998,0.18182768361284504,0.978606189399822,3.1250000000000666,6.640625000000141
0,0.01,0.0,fin_z_min,0.010908967499999998,0.20828716454558482,0.9673731604501821,3.1250000000000666,6.640625000000141
0,0.01,0.0,fin_z_min,0.011255112499999997,0.14959073957354657,0.9311892124089401,3.1250000000000666,6.640625000000141
0,0.01,0.0,fin_z_min,0.011947402499999997,0.16478073100077728,0.9166894322591647,3.1250000000000666,6.640625000000141
0,0.01,0.0,fin_z_min,0.012293547499999998,0.16349097944730295,0.8703480981031538,3.1250000000000666,6.640625000000141
0,0.01,0.0,fin_z_min,0.012985837499999998,0.18106472219095662,0.85119485719529,3.1250000000000666,6.640625000000141
0,0.01,0.0,fin_z_min,0.013331982499999999,0.20989683484538846,0.8085265690466107,3.1250000000000666,6.640625000000141
0,0.01,0.0,fin_z_min,0.013678127499999998,0.21259476024467117,0.8089790792951937,3.1250000000000666,6.640625000000141
0,0.01,0.0,fin_z_max,-0.0136673275,0.7085913473345007,0.9766539330932668,3.1250000000000666,6.640625000000141
0,0.01,0.0,fin_z_max,-0.012975037499999998,0.708636807911398,0.976667532618236,3.1250000000000666,6.640625000000141
0,0.01,0.0,fin_z_max,-0.0119366025,0.7087570716707854,0.9766861619262074,3.1250000000000666,6.640625000000141
0,0.01,0.0,fin_z_max,-0.0108981675,0.7088969147084404,0.9766687844152503,3.1250000000000666,6.640625000000141
0,0.01,0.0,fin_z_max,-0.0098597325,0.7090819866237281,0.9766448705200601,3.1250000000000666,6.640625000000141
