probe,x_m,y_m,z_m,uy_rms,uy_psd_peak_hz,uy_psd_peak_power,uy_psd_f1_power,uy_psd_f2_power,coh_uy_cl_f1,coh_uy_qwall_f1,lag_uy_to_cl_s,corr_uy_cl,lag_uy_to_qwall_s,corr_uy_qwall,lag_uy_to_tout_s,corr_uy_tout,lag_probeT_to_tout_s,corr_probeT_tout
0,0.01,0.0,0.0,0.026629412938085413,6.640625000000141,0.0010123425528886087,1.8755202078727624e-06,0.0010123425528886087,0.3712498590861545,0.6581845384822376,0.034999999999999254,-0.9825249381911811,-0.10499999999999776,-0.36886743875176364,-0.04499999999999904,0.42527774082807845,-0.009999999999999787,0.4801744978210973
1,0.02,0.0,0.0,0.0835722401531026,6.640625000000141,0.010042981058074486,9.255476422607788e-06,0.010042981058074486,0.19019548202238118,0.25471247481129994,-0.004999999999999893,-0.9839469832072342,0.08499999999999819,0.3303538908015531,-0.004999999999999893,-0.43087787680051415,-1.2749999999999728,0.4038745873626757
2,0.03,0.0,0.0,0.11428566585944074,6.640625000000141,0.018377297613336382,4.134355019042917e-05,0.018377297613336382,0.8831819850334193,0.6307813142951554,-0.049999999999998934,-0.9517542980096201,0.03999999999999915,0.2977300655323833,-0.049999999999998934,-0.4100958179945029,0.20499999999999563,0.32779278385666955
3,0.04,0.0,0.0,0.1133704328055843,6.640625000000141,0.01719973167845836,2.7575546867574407e-05,0.01719973167845836,0.3063776827652095,0.08599050334060435,-0.009999999999999787,0.9329719255711498,0.1549999999999967,0.28493796710116914,-0.01499999999999968,0.3909072432699753,0.009999999999999787,0.2653038720963459
4,0.06,0.0,0.0,0.08794710063513182,6.640625000000141,0.009508802363183131,7.431965786400748e-05,0.009508802363183131,0.07919669909331516,0.3040115008216829,-0.08999999999999808,0.8773319501334544,0.0799999999999983,0.28222277988573385,-0.01499999999999968,-0.38661424750430456,-0.27499999999999414,-0.2609903528944565
5,0.08,0.0,0.0,0.06825677702674166,6.640625000000141,0.005381594712305297,5.65370138344672e-05,0.005381594712305297,0.1878714052093774,0.6382886164048234,0.0,0.8450627373213631,0.3199999999999932,0.3204889671072738,-0.3049999999999935,0.3689858726473538,-0.024999999999999467,-0.414821148158858
6,0.1,0.0,0.0,0.05347273171568014,6.640625000000141,0.002953982164496241,9.110265198559946e-05,0.002953982164496241,0.461871453251315,0.9052063789136937,-0.05999999999999872,0.8129783988467711,0.41999999999999105,0.4300101784574746,-0.3649999999999922,0.40039542322437316,-0.08499999999999819,-0.44414753925308526
7,0.02,0.006,0.0,0.04429432210958608,6.640625000000141,0.002905197909821016,9.85585194915358e-06,0.002905197909821016,0.24862858273446042,0.5079367874107595,-0.004999999999999893,-0.986780640175345,-0.06999999999999851,0.33494502043536245,-0.009999999999999787,-0.42047478588799303,0.06999999999999851,0.4095399316613043
8,0.04,0.006,0.0,0.11297423747978198,6.640625000000141,0.01754170818575957,0.00031936954719665714,0.01754170818575957,0.7658017608315191,0.5916385066772585,-0.019999999999999574,0.9358445111896596,-0.1599999999999966,0.38681463279482653,-0.024999999999999467,0.4234002551871058,-0.01499999999999968,0.4086107555444549
9,0.06,0.006,0.0,0.08197960428932505,6.640625000000141,0.008690394028055073,0.00023040304841798957,0.008690394028055073,0.5682640775385511,0.6609568004427776,-0.02999999999999936,-0.8960510282425393,-0.8599999999999817,0.3689767196444973,0.27499999999999414,-0.4204945853558053,0.20499999999999563,0.4090413941506025
10,0.02,-0.006,0.0,0.05441504550885632,6.640625000000141,0.00446106774676281,5.51900367912644e-06,0.00446106774676281,0.3157688638053316,0.22266914577693087,-0.004999999999999893,-0.9748607454592079,-0.0749999999999984,0.31113178741776637,-0.009999999999999787,-0.4093708817661162,0.0,0.3986250996748101
11,0.04,-0.006,0.0,0.10166738403024674,6.640625000000141,0.014374601602407893,1.099999837903877e-05,0.014374601602407893,0.036027218688066,0.10821278023896784,-0.01499999999999968,0.9443007145467371,-0.08499999999999819,-0.28645694903640545,-0.01499999999999968,0.3835369090876457,-0.0799999999999983,0.3706587195716611
12,0.06,-0.006,0.0,0.10529208720217108,6.640625000000141,0.012891885897563477,4.641730786511105e-05,0.012891885897563477,0.07057827208595305,0.3518204307653725,-0.009999999999999787,-0.8506622916495643,-0.4599999999999902,-0.25625798690563295,-0.009999999999999787,-0.3600971101849228,-0.1499999999999968,0.33862548049370383
