# Solver information
# Time          	U_solver        	Ux_initial      	Ux_final        	Ux_iters        	Uy_initial      	Uy_final        	Uy_iters        	Uz_initial      	Uz_final        	Uz_iters        	U_converged     	p_solver        	p_initial       	p_final         	p_iters         	p_converged     
0.036751356     	smoothSolver	5.63228040e-04	8.00392180e-09	3	3.00665190e-03	1.19187200e-09	4	1.24512910e-02	1.37334170e-09	5	false	GAMG	1.08028930e-02	5.47368850e-05	4	true
0.038093389     	smoothSolver	5.56573500e-04	7.60238920e-09	3	2.99208280e-03	1.13475410e-09	4	1.21052510e-02	1.30756030e-09	5	false	GAMG	1.05548410e-02	5.48311160e-05	4	true
0.039440661     	smoothSolver	5.50464980e-04	7.23308800e-09	3	2.97872230e-03	1.08167480e-09	4	1.18248940e-02	1.27439220e-09	5	false	GAMG	1.07492900e-02	5.53961670e-05	4	true
0.040792961     	smoothSolver	5.44812810e-04	6.89261600e-09	3	2.96672080e-03	1.03263980e-09	4	1.15379590e-02	1.22766240e-09	5	false	GAMG	1.08542420e-02	5.08632550e-05	4	true
0.042150093     	smoothSolver	5.39108540e-04	6.57601530e-09	3	2.95476010e-03	9.87523950e-10	4	1.12848900e-02	1.19441430e-09	5	false	GAMG	1.05031000e-02	5.37810120e-05	4	true
0.043511873     	smoothSolver	5.34426300e-04	6.29314720e-09	3	2.94462060e-03	9.45554960e-10	4	1.11767860e-02	1.15850510e-09	5	false	GAMG	9.75353550e-03	5.25960280e-05	4	true
0.044878131     	smoothSolver	5.30085890e-04	6.02842400e-09	3	2.93481600e-03	9.06648540e-10	4	1.08041870e-02	1.09939780e-09	5	false	GAMG	9.42363550e-03	5.16035880e-05	4	true
0.046248707     	smoothSolver	5.25980870e-04	5.78455640e-09	3	2.92550640e-03	8.70278960e-10	4	1.07351210e-02	1.05741930e-09	5	false	GAMG	9.20604540e-03	5.06459560e-05	4	true
0.047623451     	smoothSolver	5.22070760e-04	5.55834060e-09	3	2.91783900e-03	8.36495740e-10	4	1.04053980e-02	1.02774210e-09	5	false	GAMG	9.66265630e-03	5.22719660e-05	4	true
0.049002222     	smoothSolver	5.18463410e-04	5.34687370e-09	3	2.91090860e-03	8.06085690e-10	4	1.02586810e-02	1.01388280e-09	5	false	GAMG	9.48371430e-03	4.94747780e-05	4	true
0.050384889     	smoothSolver	5.15016910e-04	5.15351650e-09	3	2.90349950e-03	7.77273670e-10	4	1.00474640e-02	9.82387050e-10	5	false	GAMG	1.07162080e-02	5.12394100e-05	4	true
0.051771329     	smoothSolver	5.11787350e-04	4.97576680e-09	3	2.89972630e-03	7.52231980e-10	4	9.84381520e-03	9.60381120e-10	5	false	GAMG	9.79713700e-03	4.77993640e-05	4	true
0.053161426     	smoothSolver	5.08710520e-04	4.80891860e-09	3	2.89479410e-03	7.27896370e-10	4	9.44924730e-03	9.25596820e-10	5	false	GAMG	9.10490580e-03	5.17924950e-05	4	true
0.054555071     	smoothSolver	5.06002880e-04	4.65750250e-09	3	2.88916100e-03	7.05070720e-10	4	9.42571760e-03	9.03480770e-10	5	false	GAMG	8.81362610e-03	4.89919570e-05	4	true
0.05595216      	smoothSolver	5.03231790e-04	4.51543640e-09	3	2.88375040e-03	6.83983550e-10	4	9.23010290e-03	8.89660230e-10	5	false	GAMG	8.94474300e-03	5.09259730e-05	4	true
0.057352599     	smoothSolver	5.00814720e-04	4.38486960e-09	3	2.88104020e-03	6.65940160e-10	4	9.16247890e-03	8.58060650e-10	5	false	GAMG	9.13961310e-03	5.32908400e-05	4	true
0.058756201     	smoothSolver	4.98724430e-04	4.26550080e-09	3	2.87519000e-03	6.47307820e-10	4	8.68447280e-03	8.31673030e-10	5	false	GAMG	8.91119100e-03	4.88918930e-05	4	true
0.060161949     	smoothSolver	4.95926220e-04	4.13446170e-09	3	2.86691650e-03	6.28439820e-10	4	8.57130220e-03	8.02037800e-10	5	false	GAMG	8.73727730e-03	5.32059090e-05	4	true
0.061569785     	smoothSolver	4.93646380e-04	4.01209870e-09	3	2.85983390e-03	6.09491800e-10	4	8.79643230e-03	7.74225810e-10	5	false	GAMG	9.22231490e-03	5.58503910e-05	4	true
