mode,frequency_hz,growth_1_s,amplitude_norm
0,23.978274477359335,-1.3988502443444308,0.9820004831746784
1,23.978274477359335,-1.3988502443444308,0.9820004831746784
2,19.643745586475088,-0.3278932772911507,0.9938574204375057
3,19.643745586475088,-0.3278932772911507,0.9938574204375057
4,15.773644786940553,-2.706225237874547,0.9673609812945136
5,15.773644786940553,-2.706225237874547,0.9673609812945136
6,13.130730585874693,-0.1993674832856665,0.9961196740836227
7,13.130730585874693,-0.1993674832856665,0.9961196740836227
8,12.912799670550436,-0.9270360485773818,0.9823706805285137
9,12.912799670550436,-0.9270360485773818,0.9823706805285137
10,9.58637332580921,-0.5525318285377798,0.9910007523002372
11,9.58637332580921,-0.5525318285377798,0.9910007523002372
12,6.569508372267634,-0.14053483457936228,0.9972016073521199
13,6.569508372267634,-0.14053483457936228,0.9972016073521199
14,6.611924295875289,-0.9602287935339432,0.981191301603832
15,6.611924295875289,-0.9602287935339432,0.981191301603832
16,6.285354672284191,-0.5579004963022077,0.9892108044995115
17,6.285354672284191,-0.5579004963022077,0.9892108044995115
18,3.3576678066756998,-0.14277226044914076,0.9976288379413603
19,3.3576678066756998,-0.14277226044914076,0.9976288379413603
20,0.0,-10.579069679697737,0.9121172901387818
21,0.0,-0.7771919284519243,0.985385853228118
22,0.9821319790347509,-1.5145799128827448,0.977128358386138
23,0.9821319790347509,-1.5145799128827448,0.977128358386138
