pod_set,mode,energy_fraction,cumulative_energy
U,1,0.40696607417490094,0.40696607417490094
U,2,0.4052293526677542,0.8121954268426551
U,3,0.03786435339487223,0.8500597802375274
U,4,0.037123942044824505,0.8871837222823519
U,5,0.01653815088325232,0.9037218731656042
U,6,0.01008470219311324,0.9138065753587173
U,7,0.008302360615016546,0.9221089359737339
U,8,0.006622651577666328,0.9287315875514003
U,9,0.006501930547110721,0.935233518098511
U,10,0.00585545987464723,0.9410889779731582
U,11,0.005527110510686346,0.9466160884838445
U,12,0.004747184125266567,0.951363272609111
U,13,0.004582609536385887,0.9559458821454969
U,14,0.0034521368434483426,0.9593980189889453
U,15,0.002448816204788541,0.9618468351937338
U,16,0.002334384197117537,0.9641812193908514
U,17,0.0020067590794543818,0.9661879784703058
U,18,0.0018424487337845292,0.9680304272040903
U,19,0.0018288917240548434,0.9698593189281451
U,20,0.001554930561371939,0.971414249489517
T,1,0.39703995817946414,0.39703995817946414
T,2,0.3827311251057722,0.7797710832852363
T,3,0.049672936620171436,0.8294440199054077
T,4,0.047966670961918936,0.8774106908673267
T,5,0.019613143265456823,0.8970238341327835
T,6,0.011042865001830137,0.9080666991346137
T,7,0.010253670134135829,0.9183203692687495
T,8,0.009964187336724748,0.9282845566054742
T,9,0.009564450222941822,0.937849006828416
T,10,0.0060131860873784354,0.9438621929157944
T,11,0.005523249079221224,0.9493854419950156
T,12,0.003947738770321937,0.9533331807653376
T,13,0.003873095083241654,0.9572062758485792
T,14,0.0032933033073962413,0.9604995791559754
T,15,0.003109655309052372,0.9636092344650278
T,16,0.0028267898198285056,0.9664360242848565
T,17,0.002333151286067874,0.9687691755709245
T,18,0.002223125208215848,0.9709923007791403
T,19,0.0018088574357021416,0.9728011582148425
T,20,0.0016796563821042945,0.9744808145969468
U+T,1,0.4022077323452644,0.4022077323452644
U+T,2,0.3975756174787363,0.7997833498240008
U+T,3,0.04137457548191018,0.8411579253059109
U+T,4,0.04130189392624936,0.8824598192321603
U+T,5,0.016813447944407544,0.8992732671765679
U+T,6,0.009971808326180432,0.9092450755027482
U+T,7,0.008863949883403381,0.9181090253861516
U+T,8,0.007447694810117332,0.925556720196269
U+T,9,0.007419733626127606,0.9329764538223966
U+T,10,0.005662395291182242,0.9386388491135789
U+T,11,0.005228545138987449,0.9438673942525663
U+T,12,0.004697628706575751,0.948565022959142
U+T,13,0.004467905586098249,0.9530329285452402
U+T,14,0.0038185974149992008,0.9568515259602395
U+T,15,0.002193059108408867,0.9590445850686483
U+T,16,0.0021414982183316418,0.96118608328698
U+T,17,0.0020452755455142853,0.9632313588324942
U+T,18,0.0019700120509857913,0.96520137088348
U+T,19,0.0016919042893707987,0.9668932751728508
U+T,20,0.0016478046863559164,0.9685410798592068
