x,y,mean,mode_1,mode_2,mode_3,mode_4,mode_5,mode_6,mode_7,mode_8,mode_9,mode_10
0,0,0.1263325244,-2.124367452e-08,3.01052039e-08,-2.282143856e-09,1.078768424e-08,-1.293066286e-08,1.106352263e-08,-1.320037681e-08,3.322833632e-08,-8.847042289e-09,1.198417101e-09
0.006000000052,0.001000000047,0.1263584137,-1.871481016e-07,4.627211015e-07,4.519230769e-07,-1.633134832e-07,-2.203377447e-07,-7.163806081e-07,-1.865832875e-07,1.0632357e-06,-7.893289725e-07,6.323466927e-11
0.006000000052,0.001000000047,0.1263581708,-1.831822137e-07,4.586810121e-07,4.305647142e-07,4.267037264e-07,3.394749286e-06,-1.071937278e-05,-1.779007564e-06,1.536436446e-05,2.217592215e-06,9.562848612e-09
0.006000000052,0,0.1263300031,0,0,-0,-0,-0,0,0,0,-0,-0
0.006000000052,0.002000000095,0.1264315844,-6.217428566e-07,1.695550228e-06,1.475668322e-06,6.214904953e-07,2.123752963e-06,-1.19992244e-05,-3.162981191e-06,1.850873353e-05,1.720745025e-06,1.170333941e-08
0.006000000052,0.002000000095,0.1264313042,-6.209071373e-07,1.683835555e-06,1.484564632e-06,2.601794226e-08,2.793386459e-06,-1.234008517e-05,-2.252460621e-06,1.795176938e-05,2.683232263e-07,1.06145637e-08
0.006000000052,0.001333333319,0.1263823628,-3.318471513e-07,8.648110962e-07,7.982580403e-07,2.97897013e-07,-1.079996473e-06,-9.288995086e-07,-1.249867157e-06,2.473287517e-06,2.107721919e-08,1.161558481e-10
0.006000000052,0.003000000026,0.126558888,-1.304652432e-06,3.890796838e-06,3.058518522e-06,5.679404624e-07,4.627427988e-06,-2.435719752e-05,-5.56835407e-06,3.700663642e-05,1.521619905e-06,2.196550715e-08
0.006000000052,0.003000000026,0.1265570223,-1.294630881e-06,3.874172544e-06,3.053941389e-06,1.158189612e-06,3.972275385e-06,-2.403234301e-05,-6.468885005e-06,3.754131931e-05,2.984468199e-06,2.305663775e-08
0.006000000052,0.002666666638,0.126514928,-1.069825612e-06,3.144733403e-06,2.575374962e-06,7.658760309e-07,7.288471479e-07,-1.330955802e-05,-4.606821123e-06,2.188727392e-05,1.005023677e-06,1.307077731e-08
0.006000000052,0.00400000019,0.1267413795,-2.137412896e-06,7.086592827e-06,5.215753266e-06,1.855444525e-06,9.0369913e-06,7.378761576e-07,-4.251928015e-05,1.167833055e-05,8.700365289e-05,1.250781899e-07
0.006000000052,0.00400000019,0.1267380238,-2.121597856e-06,7.070657107e-06,5.215875822e-06,1.847268542e-06,9.042681517e-06,7.348157611e-07,-4.251107459e-05,1.165624284e-05,8.700728668e-05,1.238785929e-07
0.006000000052,0.004999999888,0.1269803017,-3.01274688e-06,1.131491748e-05,7.636719228e-06,2.885657516e-06,1.711974323e-05,1.532621247e-05,-8.044805202e-05,1.259378794e-06,0.0001729518175,2.363205787e-07
0.006000000052,0.004999999888,0.1269749627,-2.992501767e-06,1.126833502e-05,7.620450952e-06,3.363504162e-06,1.566501552e-05,1.252701984e-05,0.0001402953484,0.0003407570101,8.088172384e-05,2.803116545e-07
0.006000000052,0.006000000052,0.1272795692,-3.815927007e-06,1.659855969e-05,1.009919086e-05,4.985272233e-06,2.305942852e-05,-1.675485135e-05,-8.963653841e-05,5.361360127e-05,0.000179768729,2.720994607e-07
