mode,singular_value,energy_pct,cum_energy_pct
1,653.7185764,41.01864672,41.01864672
2,627.41529,37.78416873,78.80281545
3,273.3572066,7.172337728,85.97515318
4,248.1313734,5.909667334,91.88482051
5,155.8868831,2.332484803,94.21730531
6,128.8808974,1.594324714,95.81163003
7,117.5878504,1.327163955,97.13879398
8,94.41542913,0.8556292416,97.99442322
9,84.06851427,0.6783696665,98.67279289
10,79.92221726,0.61310481,99.2858977
11,75.9834098,0.5541626269,99.84006033
12,40.82049473,0.1599396728,100
