signal_name,rank,peak_hz,strouhal,relative_power_db
Cd,1,6.640625000000141,0.31539420565187093,0.0
Cd,2,3.3203125000000706,0.15769710282593546,-16.019276268651595
Cd,3,13.085937500000279,0.6215121111375103,-22.61727102423722
Cd,4,9.765625000000208,0.46381500831157485,-24.396079209461732
Cd,5,2.734375000000058,0.12986820232724097,-24.523837887108794
Cl,1,6.640625000000141,0.31539420565187093,0.0
Cl,2,5.468750000000116,0.25973640465448194,-30.14727140912555
Cl,3,7.812500000000167,0.3710520066492599,-35.73286265836636
Cl,4,1.1718750000000249,0.05565780099738898,-37.64229748353456
Cl,5,9.765625000000208,0.46381500831157485,-38.229678861598735
Cm,1,6.640625000000141,0.31539420565187093,0.0
Cm,2,5.468750000000116,0.25973640465448194,-28.788527997566575
Cm,3,3.3203125000000706,0.15769710282593546,-34.902842886514485
Cm,4,7.812500000000167,0.3710520066492599,-37.88403090235046
Cm,5,2.734375000000058,0.12986820232724097,-41.92759621942747
Cl_pressure,1,6.640625000000141,0.31539420565187093,0.0
Cl_pressure,2,5.468750000000116,0.25973640465448194,-30.183601647396223
Cl_pressure,3,7.812500000000167,0.3710520066492599,-35.701997837512685
Cl_pressure,4,1.1718750000000249,0.05565780099738898,-37.81326640340588
Cl_pressure,5,9.765625000000208,0.46381500831157485,-38.142776060752794
Cl_viscous,1,6.640625000000141,0.31539420565187093,0.0
Cl_viscous,2,5.468750000000116,0.25973640465448194,-29.752248710685052
Cl_viscous,3,7.812500000000167,0.3710520066492599,-36.15006156670439
Cl_viscous,4,1.1718750000000249,0.05565780099738898,-36.872229887739024
Cl_viscous,5,3.1250000000000666,0.14842080265970398,-38.97612898616058
Cm_pressure,1,6.640625000000141,0.31539420565187093,0.0
Cm_pressure,2,5.468750000000116,0.25973640465448194,-29.156613392301804
Cm_pressure,3,13.085937500000279,0.6215121111375103,-35.47702122818001
Cm_pressure,4,7.812500000000167,0.3710520066492599,-37.05559763331587
Cm_pressure,5,3.3203125000000706,0.15769710282593546,-37.29124780919064
