signal,phase_rad,phase_deg,mean_value,scaled_value
Cd,0.06544984694978735,3.7499999999999996,3.360941493571429,-0.049478426846576815
Cd,0.19634954084936207,11.25,3.3604092229032263,-0.3539951674962175
Cd,0.32724923474893675,18.749999999999996,3.3600493431034475,-0.5598855728877653
Cd,0.4581489286485115,26.25,3.3611104299999996,0.047171592924430135
Cd,0.5890486225480862,33.75,3.3603367713793104,-0.395445322907678
Cd,0.7199483164476609,41.25,3.3603921376666666,-0.36376978191930626
Cd,0.8508480103472356,48.74999999999999,3.359420316857142,-0.919757032562294
Cd,0.9817477042468103,56.25,3.35839111775,-1.5085709129976301
Cd,1.1126473981463851,63.75000000000001,3.3611161725490195,0.05045695583284175
Cd,1.2435470920459597,71.25,3.3606971095918365,-0.18929265554299418
Cd,1.3744467859455343,78.74999999999999,3.360972576304348,-0.03169572138403389
Cd,1.5053464798451093,86.25,3.3606979836363635,-0.18879260696538516
Cd,1.6362461737446838,93.75,3.3620857537999997,0.605162935293378
Cd,1.7671458676442584,101.24999999999999,3.3602678894339624,-0.43485329095863207
Cd,1.8980455615438332,108.74999999999999,3.3601922408,-0.47813254120663573
Cd,2.028945255443408,116.25,3.3616251943478264,0.3416728133883168
Cd,2.1598449493429825,123.74999999999999,3.3629157655263158,1.0800199595441988
Cd,2.290744643242557,131.24999999999997,3.364798562631579,2.15718477821686
Cd,2.421644337142132,138.75,3.3627009933333336,0.9571468949623372
Cd,2.5525440310417067,146.25,3.363293793870968,1.2962933074170584
Cd,2.6834437249412817,153.75,3.3616627422580643,0.36315430377827657
Cd,2.8143434188408563,161.25,3.360604473548387,-0.24229055248357872
Cd,2.945243112740431,168.75,3.360367675925926,-0.37776455939987474
Cd,3.0761428066400054,176.24999999999997,3.3599119535483872,-0.6384873482730695
Cd,3.2070425005395804,183.75,3.358501875925926,-1.4452051843409437
Cd,3.337942194439155,191.25,3.3587416224,-1.308044113425954
Cd,3.4688418883387295,198.74999999999997,3.3581055951724132,-1.6719208961973766
Cd,3.5997415822383045,206.25,3.3582760628000003,-1.5743948639732404
Cd,3.730641276137879,213.75,3.3586124578125,-1.381940312376333
Cd,3.8615409700374537,221.24999999999997,3.359091632083333,-1.1078004886471653
Cd,3.9924406639370282,228.74999999999997,3.3592444299999995,-1.020383453779482
Cd,4.123340357836604,236.25,3.3592521418518517,-1.0159714353634741
Cd,4.254240051736177,243.74999999999994,3.3602279865517244,-0.45768208158627943
Cd,4.385139745635753,251.25,3.360374805217391,-0.3736858289159115
Cd,4.5160394395353265,258.74999999999994,3.362015195,0.5647956239166572
Cd,4.646939133434902,266.25,3.364292213043478,1.867497715958609
Cd,4.777838827334477,273.75,3.3641647422222225,1.7945705356056711
Cd,4.908738521234051,281.24999999999994,3.3643214992592596,1.8842526181326262
Cd,5.0396382151336265,288.75,3.3645774840000002,2.0307037445296374
Cd,5.1705379090332,296.24999999999994,3.3634358458620683,1.377562503554959
