component,mean,rms,rms_fraction_total_pct,phase_vs_total_deg,corr_vs_total
Cd_p,2.9035821020249952,0.0060537301060992095,89.7436592500185,2.7941401882434813,0.9988914715503998
Cd_v,0.4574316950854014,0.0007544478030162294,11.184328565886675,-22.904478508758757,0.9259227398788837
Cl_p,2.514626013060744,0.1638228537404199,92.81929518565785,0.8899664684379675,0.9991185085787591
Cl_v,0.0007232349795598421,0.014546400239859468,8.24174763730849,-10.423175622888488,0.881187406648829
Cm_p,8.53131610655903e-09,1.4646026560418641e-08,0.0009305369968999362,50.09794818863997,0.28480279994830765
Cm_v,0.008023542132236458,0.0015739285804821908,99.99973498443617,-0.00016897088769534248,0.9999999999602165
