signal_name,target,target_hz,peak_hz,strouhal,relative_power_db
Cd,f0,3.278688524590167,3.3203125000000706,0.15769710282593546,-16.019276268651595
Cd,2f0,6.557377049180334,6.640625000000141,0.31539420565187093,0.0
Cd,3f0,9.836065573770501,9.765625000000208,0.46381500831157485,-24.396079209461732
Cl,f0,3.278688524590167,3.3203125000000706,0.15769710282593546,-39.9101527997881
Cl,2f0,6.557377049180334,6.640625000000141,0.31539420565187093,0.0
Cl,3f0,9.836065573770501,9.765625000000208,0.46381500831157485,-38.229678861598735
Cm,f0,3.278688524590167,3.3203125000000706,0.15769710282593546,-34.902842886514485
Cm,2f0,6.557377049180334,6.640625000000141,0.31539420565187093,0.0
Cm,3f0,9.836065573770501,9.765625000000208,0.46381500831157485,-42.362163027381655
Cl_pressure,f0,3.278688524590167,3.3203125000000706,0.15769710282593546,-39.98539565468076
Cl_pressure,2f0,6.557377049180334,6.640625000000141,0.31539420565187093,0.0
Cl_pressure,3f0,9.836065573770501,9.765625000000208,0.46381500831157485,-38.142776060752794
Cl_viscous,f0,3.278688524590167,3.1250000000000666,0.14842080265970398,-38.97612898616058
Cl_viscous,2f0,6.557377049180334,6.640625000000141,0.31539420565187093,0.0
Cl_viscous,3f0,9.836065573770501,9.765625000000208,0.46381500831157485,-39.17342357422561
Cm_pressure,f0,3.278688524590167,3.3203125000000706,0.15769710282593546,-37.29124780919064
Cm_pressure,2f0,6.557377049180334,6.640625000000141,0.31539420565187093,0.0
Cm_pressure,3f0,9.836065573770501,9.765625000000208,0.46381500831157485,-39.95986633412495
