station,theta_deg,z_m,Nu_mean,Nu_rms
stagnation_0deg,1.8749999999999978,-0.0058,0.17071452779972413,0.008646129731242836
stagnation_0deg,1.8749999999999978,-0.0054,0.4787067974555114,0.024369465118844708
stagnation_0deg,1.8749999999999978,-0.005,0.8209879201934325,0.04232756539168813
stagnation_0deg,1.8749999999999978,-0.0046,1.166972819430145,0.061255139909484446
stagnation_0deg,1.8749999999999978,-0.004200000000000001,1.4464369539294875,0.07715996381601804
stagnation_0deg,1.8749999999999978,-0.0038,1.783572402254391,0.09626794885218869
stagnation_0deg,1.8749999999999978,-0.0034000000000000002,2.0586120372728725,0.11205016896120708
stagnation_0deg,1.8749999999999978,-0.003,2.3741573375908835,0.13209735628068203
stagnation_0deg,1.8749999999999978,-0.0026,2.601637236271324,0.14609124702369103
stagnation_0deg,1.8749999999999978,-0.0021999999999999997,2.7639372682861185,0.15648237832245393
stagnation_0deg,1.8749999999999978,-0.0018,2.924179679518287,0.1686579587124912
stagnation_0deg,1.8749999999999978,-0.0013999999999999998,3.0425609638288034,0.18065381930601315
stagnation_0deg,1.8749999999999978,-0.0009999999999999996,3.1016213749979196,0.18963359265567992
stagnation_0deg,1.8749999999999978,-0.0005999999999999998,3.1010290022116904,0.19476934658191428
stagnation_0deg,1.8749999999999978,-0.0002000000000000001,3.1042222288573456,0.2023523218123049
stagnation_0deg,1.8749999999999978,0.0002000000000000001,3.0800992024675935,0.21015525311774688
stagnation_0deg,1.8749999999999978,0.0006000000000000003,3.029741101458737,0.21579800070261707
stagnation_0deg,1.8749999999999978,0.0010000000000000005,2.950065050735262,0.21794950574341967
stagnation_0deg,1.8749999999999978,0.0014000000000000002,2.8441831285989787,0.21665429546917706
stagnation_0deg,1.8749999999999978,0.0018,2.737608784653296,0.21253667459262063
stagnation_0deg,1.8749999999999978,0.0022000000000000006,2.579858639594426,0.20576728129778304
stagnation_0deg,1.8749999999999978,0.0026000000000000007,2.4256615582389034,0.19719702269338318
stagnation_0deg,1.8749999999999978,0.003,2.2085989548653053,0.1801024871755213
stagnation_0deg,1.8749999999999978,0.0034000000000000002,1.9096443888009649,0.15398450767798108
