theta_rad,theta_deg,z_m,Nu_mean,Nu_rms,A1,phase1_rad,A2,asym_mean_minus_opposite
-3.1088677301148993,-178.125,-0.0058,2.362716045256222,0.01732541607648018,0.006162978881375707,-1.3170044412343187,0.004219711898911642,-0.009281186771934458
-3.0434178831651124,-174.37500000000003,-0.0058,2.345768108822966,0.016931996031206174,0.006025007212057819,-1.3269701618446452,0.0041460710678197735,-0.02330000869429938
-2.9779680362153247,-170.625,-0.0058,2.3243764394740816,0.01668931083394163,0.005977114550859345,-1.3316414103028185,0.004037949556965973,-0.033689071518930636
-2.912518189265537,-166.87499999999997,-0.0058,2.379139385965224,0.016785631103202567,0.005949496949330361,-1.3495968816599797,0.0041281268226421985,-0.04224598544709357
-2.84706834231575,-163.125,-0.0058,2.2218584750599057,0.015593999344287582,0.005470237230323369,-1.3610971079187677,0.003869458786605186,-0.04720809008049276
-2.7816184953659624,-159.37499999999997,-0.0058,2.3776319939641657,0.016690423856044675,0.005874893297313464,-1.3595735814745153,0.004129852617056554,-0.058354165865001306
-2.7161686484161756,-155.625,-0.0058,2.3645795999725348,0.016609188447177497,0.005700851769204796,-1.3751639381437435,0.00419592556352311,-0.07398392215231597
-2.650718801466388,-151.875,-0.0058,2.3710223816528058,0.016686944146623438,0.0056792893136331,-1.379462819528832,0.004244617741169601,-0.08720218821510439
-2.585268954516601,-148.12500000000003,-0.0058,2.4317943103065387,0.017155590740831,0.005775787355480233,-1.3873780105474836,0.00438751955992684,-0.10594334345262357
-2.5198191075668133,-144.375,-0.0058,2.331044219364233,0.016600910412688824,0.005444381478969458,-1.3995659604926831,0.00430757168975161,-0.11091056787458164
-2.4543692606170255,-140.62499999999997,-0.0058,2.3504685097814915,0.016946907636943287,0.005410071699970727,-1.4087384752996173,0.0044679146212719505,-0.12016091805482176
-2.3889194136672387,-136.875,-0.0058,2.3527755178576757,0.017153154192247392,0.0053587144704654605,-1.4173998886480201,0.004569741421716644,-0.13278047667980752
-2.323469566717451,-133.125,-0.0058,2.4854412963735752,0.018600272231992863,0.005533868786627232,-1.4364623640328482,0.0050363612418395515,-0.1427183663296514
-2.258019719767664,-129.37500000000003,-0.0058,2.280285752437149,0.01729870259737526,0.005030406606413405,-1.4426564502364292,0.004735722287282985,-0.12629365167795337
-2.1925698728178764,-125.625,-0.0058,2.158486917721498,0.016534143598695806,0.004743129040813168,-1.4501625119714263,0.004554936957611582,-0.11631390695581123
-2.1271200258680896,-121.87500000000003,-0.0058,2.1676686835558923,0.016560107969102192,0.004789647075489802,-1.456936492916135,0.00453103851383467,-0.12375986349022883
