phase_bin,phase_rad,Nu_mean_global,Nu_max_global,Nu_min_global
0,0.09817477042468103,8.581466531487118,18.885813913131223,0.10226695932981839
1,0.2945243112740431,8.581932063160439,18.87817095063059,0.10231062030651389
2,0.4908738521234052,8.59271404365003,18.906784799342322,0.10243234610376317
3,0.6872233929727672,8.589689880624324,18.8936374637146,0.10313550187919915
4,0.8835729338221293,8.601698208204157,18.9307952565689,0.10202359191435696
5,1.0799224746714913,8.606794838476056,18.93687540949045,0.10367396562059147
6,1.2762720155208536,8.602104543523344,18.925616849884918,0.10363228642343725
7,1.4726215563702154,8.601300587729263,18.942717489148706,0.1025124719454592
8,1.6689710972195777,8.620899816333553,18.975473921588403,0.1039726654784798
9,1.8653206380689396,8.593624279928754,18.898377032096878,0.10298586892851117
10,2.061670178918302,8.604514735708229,18.943846618190477,0.10367763614402631
11,2.2580197197676637,8.62137036699091,18.98441188019718,0.10539616771688388
12,2.454369260617026,8.606582297200097,18.96002198525171,0.10377853823275551
13,2.650718801466388,8.592250121723962,18.931949142457047,0.10270337292603929
14,2.84706834231575,8.584389473263048,18.909854219865593,0.10159144652488408
15,3.043417883165112,8.560489643237371,18.855337776968074,0.10075558914831978
16,3.2397674240144743,8.55302567756616,18.823920588107757,0.10101630111706555
17,3.436116964863836,8.554973207297097,18.82109588534115,0.1013283182269917
18,3.6324665057131984,8.547610377239746,18.799810368927538,0.10181688940366877
19,3.8288160465625602,8.553474273373089,18.80719579020708,0.10253605578068753
20,4.025165587411922,8.561460781780955,18.82219727141158,0.10279426363467473
21,4.221515128261284,8.566654978305031,18.81857689847895,0.10447155407069263
22,4.417864669110647,8.570925674937437,18.83230109955765,0.10540815052501097
23,4.614214209960009,8.583525542826266,18.86999340828352,0.10688379373095319
24,4.81056375080937,8.577342131089116,18.86596822842028,0.10656496307795915
25,5.006913291658733,8.590479937664735,18.902826670776353,0.10680768601186572
26,5.203262832508095,8.587913288352249,18.8920967719595,0.1049988555638856
27,5.399612373357457,8.582984590295782,18.873025794507896,0.10312994546258505
28,5.595961914206819,8.583465181749332,18.8926330074104,0.10427960635374663
29,5.792311455056181,8.59035562048361,18.909926982388,0.10375301534191914
30,5.988660995905543,8.586183231534259,18.9092968778246,0.1028517753255566
31,6.1850105367549055,8.589204385884456,18.906848229828597,0.10192887767024514
