time,Cl,Nu_upper_mean,Nu_lower_mean,Nu_upper_minus_lower
2.0,2.7995007,8.782450507631081,8.6569894313417,0.12546107628938152
2.005,2.82995006,8.7693166267707,8.63874151687168,0.13057510989902
2.01,2.84781673,8.754203693506001,8.623350860572781,0.13085283293322014
2.015,2.8524943,8.737217189286865,8.610884349647863,0.12633283963900155
2.02,2.84396109,8.718568693479478,8.601319342250289,0.117249351229189
2.025,2.82271692,8.6985406797171,8.594539950845354,0.10400072887174616
2.03,2.78983417,8.677485074152928,8.590334719944165,0.08715035420876305
2.035,2.74682489,8.655815311566544,8.588382125544047,0.06743318602249637
2.04,2.69549625,8.633954787839114,8.588253316725963,0.04570147111315137
2.045,2.63796142,8.612312369803758,8.589448679264528,0.02286369053923032
2.05,2.57644185,8.591263741933144,8.591407980340817,-0.00014423840767285867
2.055,2.51326254,8.571130932958209,8.59352143542958,-0.022390502471370866
2.06,2.45081879,8.552158149122688,8.59519249245789,-0.04303434333520251
2.065,2.39147198,8.534515093319596,8.595813928417616,-0.06129883509801992
2.07,2.33761182,8.518239178435968,8.594822308277411,-0.07658312984144366
2.075,2.29142601,8.50338580490276,8.591830372547603,-0.08844456764484399
2.08,2.2549688,8.489906209448334,8.58651811578931,-0.09661190634097672
2.085,2.22984376,8.502727526135509,8.603870454290778,-0.10114292815526937
2.09,2.21738463,8.516774471471516,8.618390780803768,-0.10161630933225219
2.095,2.21828192,8.53200642642957,8.629961525543566,-0.09795509911399591
2.1,2.23253769,8.548395466371403,8.638551879961131,-0.09015641358972815
2.105,2.25963365,8.565891227643469,8.644281564587947,-0.07839033694447828
2.11,2.29835312,8.58437899502343,8.647439720851976,-0.06306072582854583
2.115,2.34690001,8.603674166156054,8.648431498652503,-0.044757332496448754
2.12,2.40319157,8.623531987508043,8.6477550673176,-0.02422307980955729
2.125,2.46465174,8.643646058743116,8.645988724127982,-0.0023426653848659384
2.13,2.528643,8.663662905610018,8.643768450831205,0.019894454778812687
2.135,2.59229282,8.683187390389293,8.64172871266383,0.04145867772546197
2.14,2.65293472,8.701843865153702,8.640484245027594,0.06135962012610818
2.145,2.70798638,8.719210817565788,8.640501887047858,0.07870893051793004
2.15,2.75529738,8.734964634139978,8.642244506520607,0.09272012761937098
2.155,2.79291449,8.748881228015287,8.646119870844482,0.10276135717080592
2.16,2.81945191,8.760840165461168,8.652466312418218,0.10837385304295033
2.165,2.83396287,8.74663250797043,8.637564576901855,0.10906793106857471
2.17,2.83614686,8.730614154248183,8.625389339726107,0.10522481452207622
2.175,2.82597335,8.713016853615732,8.615879482576036,0.09713737103969677
2.18,2.80416054,8.694132569693467,8.608883542825964,0.08524902686750302
2.185,2.771635,8.674303802683792,8.604163061104925,0.07014074157886618
2.19,2.72976924,8.65392163166115,8.601380262688364,0.05254136897278627
2.195,2.68014007,8.633370554005527,8.60011294544066,0.033257608564866814
2.2,2.62460604,8.61300809358707,8.599869354532139,0.013138739054930682
2.205,2.5651461,8.593159065030278,8.60011997641655,-0.006960911386272528
2.21,2.50388804,8.574097166114292,8.600303927947612,-0.026206761833320158
2.215,2.44313596,8.556039903122773,8.599877914592064,-0.04383801146929045
2.22,2.38521002,8.539143810172915,8.598310123706868,-0.05916631353395374
2.225,2.33240007,8.523524769033502,8.595031940324665,-0.07150717129116302
2.23,2.28696107,8.509159749891722,8.589932675846798,-0.08077292595507579
2.235,2.25087873,8.496114235826788,8.582698797332604,-0.08658456150581628
2.24,2.2258567,8.484379634626134,8.573112373342708,-0.08873273871657439
2.245,2.21312713,8.49475158121551,8.581951420914299,-0.08719983969878875
2.25,2.2134325,8.506477558458636,8.588225335134767,-0.08174777667613142
2.255,2.22696457,8.519570885255755,8.591990083512675,-0.07241919825692023
2.26,2.25329999,8.533996743328055,8.593428231884465,-0.05943148855640956
2.265,2.2913241,8.549652455118014,8.592855611598747,-0.043203156480732474
2.27,2.33947322,8.566359832620398,8.590674385020026,-0.024314552399628653
2.275,2.39565131,8.583864632207824,8.587350991870801,-0.0034863596629772786
2.28,2.45749887,8.601845346540292,8.583404100493734,0.01844124604655839
2.285,2.52231505,8.619926725466028,8.57939064299661,0.04053608246941742
2.29,2.58733778,8.637683014747301,8.575886061729697,0.061796953017603684
2.295,2.64975892,8.654709206937072,8.573454981955415,0.08125422498165769
2.3,2.7069201,8.670566224626365,8.572500137159942,0.09806608746642276
2.305,2.75651134,8.684904405407833,8.573431438009239,0.11147296739859414
2.31,2.79638774,8.69747767095442,8.576621716290877,0.12085595466354349
2.315,2.82496817,8.708141215859937,8.58241069698055,0.12573051887938824
2.32,2.84116161,8.716875248923865,8.590987909603301,0.12588733932056329
2.325,2.84437711,8.698555595960753,8.577563213883204,0.12099238207754937
2.33,2.83463157,8.678657880164947,8.566998058285506,0.11165982187944046
2.335,2.81256915,8.657463999482406,8.559164266134633,0.09829973334777264
2.34,2.77915198,8.635323137645157,8.553838379127747,0.08148475851741033
2.345,2.73599855,8.61264049771351,8.550684494646832,0.06195600306667792
2.35,2.68485398,8.589828575741384,8.549269623140392,0.040558952600992626
2.355,2.62786992,8.56728286048098,8.549095265120435,0.01818759536054415
2.36,2.56721144,8.545364170225987,8.549605992716897,-0.0042418224909095414
2.365,2.50523824,8.524381659974692,8.55020083460208,-0.025819174627388364
2.37,2.4442651,8.504563151150668,8.550296901568563,-0.04573375041789518
2.375,2.38663667,8.486067846933063,8.549305093932198,-0.06323724699913491
2.38,2.33464508,8.468938751877722,8.54663988891633,-0.07770113703860737
2.385,2.29044903,8.453177467799877,8.542071849469885,-0.0888943816700074
2.39,2.25596865,8.438774694376038,8.53519042930688,-0.09641573493084188
2.395,2.23287315,8.425647234537912,8.525716524574484,-0.10006929003657206
2.4,2.22225232,8.41371535620828,8.513473222283432,-0.09975786607515147
2.405,2.22471041,8.431606222876892,8.52738663131374,-0.09578040843684832
2.41,2.24029145,8.450630607105476,8.538441254960258,-0.08781064785478243
2.415,2.26834114,8.470735870052165,8.546763078049613,-0.07602720799744844
2.42,2.30758988,8.49180411581894,8.552638211047428,-0.06083409522848804
2.425,2.35632177,8.513648438613732,8.55646615522336,-0.042817716609627965
2.43,2.41231298,8.536024247815824,8.558735538767435,-0.022711290951610508
2.435,2.47310504,8.55862666394575,8.560010072683706,-0.00138340873795606
2.44,2.53600964,8.581106116293382,8.560910376379217,0.02019573991416479
2.445,2.59823719,8.603077311871367,8.562051343734236,0.041025968137130775
2.45,2.65716448,8.624179246508358,8.5640260145193,0.06015323198905875
2.455,2.71031592,8.644009145648862,8.56728342629568,0.07672571935318295
2.46,2.75554519,8.662260097633814,8.572274350112206,0.0899857475216077
2.465,2.79109601,8.678725591179804,8.57939302028636,0.09933257089344316
2.47,2.81561997,8.693300417823233,8.588966368667714,0.10433404915551847
2.475,2.82827721,8.706000236446666,8.601160424926201,0.10483981152046518
2.48,2.82876987,8.716954651583327,8.616022797019799,0.10093185456352849
