theta_rad,theta_deg,Nu_mean_zavg,Nu_rms_zavg,asym_Nu_theta_minus_minus_theta
-3.1088677301148993,-178.125,15.356240222488738,0.11333344556097597,-0.006550718961618074
-3.0434178831651124,-174.37500000000003,15.361509038141188,0.11231098359654286,-0.008076113163255627
-2.9779680362153247,-170.625,15.266232229319948,0.11186772506524564,-0.040902622834192215
-2.912518189265537,-166.87499999999997,15.429258452262227,0.11242520682411726,-0.05440958887292702
-2.84706834231575,-163.125,15.557280996338768,0.11232679871677553,-0.05416278074241632
-2.7816184953659624,-159.37499999999997,15.662777671239702,0.11276069361390816,-0.06803131575511756
-2.7161686484161756,-155.625,15.70444610545365,0.11258687476366357,-0.08801883056118065
-2.650718801466388,-151.875,15.65481605540294,0.11189258998505812,-0.10794817198685891
-2.585268954516601,-148.12500000000003,15.580323753598297,0.1110987740058146,-0.13185928420863746
-2.5198191075668133,-144.375,15.359278113684912,0.10929077866863643,-0.1531432180401211
-2.4543692606170255,-140.62499999999997,15.39286187783825,0.10930605407999673,-0.18095603186688614
-2.3889194136672387,-136.875,15.091725191108248,0.10691002506629524,-0.2145093980061148
-2.323469566717451,-133.125,15.159741143650185,0.1072704266929322,-0.24118132292848138
-2.258019719767664,-129.37500000000003,14.828162831987838,0.10465026715699839,-0.260875464063707
-2.1925698728178764,-125.625,14.26937466155878,0.10033503166583671,-0.283881221485462
-2.1271200258680896,-121.87500000000003,14.138138980575821,0.09922022452547244,-0.30024720064464994
-2.061670178918302,-118.125,13.844812595974847,0.09698762487291462,-0.3078989094778617
-1.9962203319685143,-114.375,13.196887669037876,0.09211756182075859,-0.32686517054036734
-1.930770485018727,-110.625,12.664873723684645,0.08812311514941222,-0.3389741975590521
-1.8653206380689398,-106.875,11.992611166763279,0.083016357107537,-0.3627886014836683
-1.7998707911191523,-103.125,11.486684789966334,0.07926195787644623,-0.3832894389683439
-1.734420944169365,-99.375,10.945045589323753,0.07559128600315225,-0.4098713892507213
-1.6689710972195777,-95.625,9.967277042884003,0.0692253698823983,-0.423526173528181
-1.6035212502697904,-91.87500000000001,9.078946907053108,0.06397821591487621,-0.21658773019110633
-1.538071403320003,-88.125,8.174399573821457,0.058533306823313716,-0.1986253423196871
-1.4726215563702156,-84.375,7.2093924411407295,0.05394969319855089,-0.40837569482302616
-1.4071717094204284,-80.62500000000001,6.30378896126578,0.05080008683275702,-0.4020305273799103
-1.3417218624706408,-76.875,5.350130638670689,0.0475675646100204,-0.378780812935692
-1.2762720155208536,-73.125,4.738156780536671,0.04475338793753842,-0.3491607968489143
-1.2108221685710663,-69.37500000000001,3.970010890880897,0.04096209212612492,-0.29791618035689416
-1.145372321621279,-65.62500000000001,3.4983697169801427,0.038328221199665974,-0.26309482289664654
-1.0799224746714915,-61.87500000000001,2.9025160529641085,0.034635883574589306,-0.21663922233088684
-1.0144726277217042,-58.12500000000001,2.651373805105342,0.03247623363120168,-0.19131388536725336
-0.9490227807719169,-54.375000000000014,2.270367440320044,0.028388205464697946,-0.13531337593468384
-0.8835729338221296,-50.62500000000002,1.9030754509452417,0.03442597352501483,-0.018719441608176624
-0.8181230868723421,-46.87500000000001,1.7271386936674114,0.049885564489053194,0.09071335106180767
-0.7526732399225546,-43.125,1.6273025076869605,0.06805617106733292,0.20774129370696137
-0.6872233929727674,-39.37500000000001,1.6386149922364972,0.09653989330535087,0.37490780124414647
-0.6217735460229801,-35.62500000000001,1.6802077788723144,0.12240918431082479,0.5172846825222248
-0.5563236990731928,-31.875000000000014,1.7882253148738774,0.14591475882265229,0.6251777842353035
-0.4908738521234055,-28.125000000000018,1.8989179137207908,0.1676454132639583,0.6989837161151797
-0.425424005173618,-24.37500000000001,2.008802793658172,0.18716739630129578,0.737340207969144
-0.3599741582238305,-20.625000000000004,2.112604835102986,0.19935971083842968,0.7164429173059745
-0.2945243112740432,-16.875000000000007,2.164318646256615,0.20139274145043004,0.6639789099843327
-0.22907446432425593,-13.12500000000001,2.2168681473863003,0.19604142698868035,0.549087492366594
-0.16362461737446865,-9.375000000000014,2.212200597631729,0.1850292338715547,0.43212148294672126
-0.09817477042468137,-5.625000000000019,2.173654329974631,0.17010234926557216,0.28236813637839697
-0.03272492347489386,-1.8750000000000107,2.0950591870703295,0.15063592693635078,0.08450198357774141
0.03272492347489364,1.8749999999999978,2.010557203492588,0.13505120139992724,-0.08450198357774141
0.09817477042468092,5.624999999999994,1.8912861935962342,0.118345302415576,-0.28236813637839697
0.1636246173744682,9.37499999999999,1.780079114685008,0.10535205271134535,-0.43212148294672126
0.2290744643242555,13.124999999999986,1.6677806550197063,0.09468860201991261,-0.549087492366594
0.29452431127404277,16.874999999999982,1.5003397362722823,0.08213335950665052,-0.6639789099843327
0.35997415822383005,20.624999999999975,1.3961619177970115,0.07497214541372993,-0.7164429173059745
0.42542400517361756,24.374999999999986,1.2714625856890278,0.06593406413894226,-0.737340207969144
0.49087385212340506,28.124999999999993,1.199934197605611,0.05882047093148299,-0.6989837161151797
0.5563236990731923,31.87499999999999,1.163047530638574,0.05261464212094968,-0.6251777842353035
0.6217735460229796,35.624999999999986,1.1629230963500896,0.04648477745170067,-0.5172846825222248
0.6872233929727669,39.37499999999998,1.2637071909923507,0.040192858663772264,-0.37490780124414647
0.7526732399225542,43.12499999999998,1.4195612139799991,0.03458269402556335,-0.20774129370696137
0.8181230868723417,46.874999999999986,1.6364253426056037,0.035376050709400156,-0.09071335106180767
0.8835729338221292,50.62499999999999,1.9217948925534183,0.04107698488986831,0.018719441608176624
0.9490227807719163,54.37499999999998,2.4056808162547276,0.052316761468776854,0.13531337593468384
1.0144726277217035,58.12499999999997,2.8426876904725953,0.058739450391749895,0.19131388536725336
1.0799224746714913,61.87499999999999,3.1191552752949954,0.06098767149735091,0.21663922233088684
1.1453723216212786,65.62499999999999,3.761464539876789,0.0653454846875651,0.26309482289664654
1.2108221685710658,69.37499999999999,4.267927071237791,0.06958074907362387,0.29791618035689416
1.2762720155208531,73.12499999999999,5.087317577385585,0.076632522172589,0.3491607968489143
1.3417218624706404,76.87499999999997,5.728911451606381,0.0812812835451677,0.378780812935692
1.4071717094204277,80.62499999999997,6.70581948864569,0.08593038950602867,0.4020305273799103
1.472621556370215,84.37499999999997,7.617768135963756,0.08970631530879282,0.40837569482302616
1.5380714033200027,88.12499999999999,8.373024916141144,0.09342073861051937,0.1986253423196871
1.60352125026979,91.87499999999999,9.295534637244215,0.10000502308738,0.21658773019110633
1.6689710972195773,95.62499999999999,10.390803216412184,0.10536627077057724,0.423526173528181
1.7344209441693645,99.37499999999997,11.354916978574474,0.10990414674441827,0.4098713892507213
1.7998707911191518,103.12499999999997,11.869974228934678,0.11039010024737557,0.3832894389683439
1.8653206380689396,106.875,12.355399768246947,0.11303245155933724,0.3627886014836683
1.9307704850187268,110.62499999999999,13.003847921243697,0.11700877698129795,0.3389741975590521
1.9962203319685141,114.37499999999999,13.523752839578243,0.1197884516948181,0.32686517054036734
2.0616701789183014,118.12499999999999,14.152711505452709,0.12341616273734647,0.3078989094778617
2.1271200258680887,121.87499999999997,14.438386181220471,0.1250530227993763,0.30024720064464994
2.192569872817876,125.62499999999997,14.553255883044242,0.12457168813778505,0.283881221485462
2.2580197197676632,129.37499999999997,15.089038296051545,0.12710751617317423,0.260875464063707
2.323469566717451,133.125,15.400922466578667,0.12814005823628555,0.24118132292848138
2.3889194136672383,136.87499999999997,15.306234589114363,0.12635111069923344,0.2145093980061148
2.4543692606170255,140.62499999999997,15.573817909705136,0.1273925272191154,0.18095603186688614
2.519819107566813,144.37499999999997,15.512421331725033,0.1259276707370658,0.1531432180401211
2.5852689545166,148.12499999999997,15.712183037806934,0.12640979807017658,0.13185928420863746
2.6507188014663874,151.87499999999997,15.762764227389798,0.12580595764989974,0.10794817198685891
2.7161686484161747,155.62499999999997,15.79246493601483,0.12485510639856263,0.08801883056118065
2.7816184953659624,159.37499999999997,15.73080898699482,0.12279238536489666,0.06803131575511756
2.8470683423157497,163.12499999999997,15.611443777081185,0.12107474570224094,0.05416278074241632
2.912518189265537,166.87499999999997,15.483668041135154,0.11788190524810496,0.05440958887292702
2.9779680362153242,170.62499999999997,15.30713485215414,0.11548683836861212,0.040902622834192215
3.0434178831651115,174.37499999999997,15.369585151304443,0.11753774267172709,0.008076113163255627
3.1088677301148993,178.125,15.362790941450356,0.11587858731922782,0.006550718961618074
