quantity,run003_archived,run004b_t3_to_t6_mean,difference
T_out_area_K,305.26,305.6821970821541,0.42219708215412766
T_out_area_std_K,,0.676068470331438,
T_out_mass_K,,305.7474830506578,
Q_total_W,1.417,1.4723425656590374,3.9056150782665764
Q_total_std_W,,0.07541233611589614,
LMTD_K,43.665,43.43180867342918,
Nu_EB_LMTD,7.476,7.77795270770377,4.0389607772039895
Nu_EB_LMTD_std,,0.463166846775446,
