run,source,window,n,Cd_mean,Cl_mean,Cl_rms,Cd_min,Cd_max,Cl_min,Cl_max,f_peak_picking_Hz,f_psd_Hz,f_second_harmonic_Hz,St,Cd_diff_pct_vs_run003,Cl_mean_diff_pct_vs_run003,Cl_rms_diff_pct_vs_run003,St_diff_pct_vs_run003
run003,archived summary baseline,archived reported window,,3.161,2.52,0.187,,,,,3.125,,6.25,0.1484,,,,
run004b,raw forceCoeffs,t >= 2 s,1682,3.362225202758621,2.5194078743935795,0.19354964151403806,3.34956493,3.37423934,2.21185158,2.85259784,3.257968835320816,3.0002250243776167,6.515829505376892,0.15472998782542363,6.3658716469035435,-0.02349704787383031,3.5024820930684797,4.265490448398671
run004b,raw forceCoeffs,t >= 3 s,1262,3.361489837250396,2.513726092916006,0.18405572195137482,3.34956493,3.37375933,2.21870769,2.83448444,3.2671861955248613,2.666360781758051,6.530223878712672,0.15516774585941479,6.342607948446562,-0.2489645668251544,-1.5744802399065143,4.560475646505917
run004b,raw forceCoeffs,t >= 4 s,841,3.3603825297978593,2.5139293595362657,0.16842186505056053,3.34956493,3.3732697,2.23302232,2.81655894,3.2832497168726915,2.500586287460914,6.562182933776781,0.15593064709887322,6.307577658900958,-0.24089843110056702,-9.934831523764421,5.0745600396719786
