run,maxCo,window,n_force,n_thermal_times,Cd_mean,Cl_mean,Cl_rms,f_peak_Hz,f_fft_Hz,St,T_out_K,T_out_std_K,Q_total_W,Q_total_std_W,Nu_EB_LMTD,Nu_EB_LMTD_std,Cd_diff_pct_vs_run004b,Cl_rms_diff_pct_vs_run004b,St_diff_pct_vs_run004b,T_out_diff_K_vs_run004b,Nu_diff_pct_vs_run004b
run004b,0.8,t = 0.5..2 s,631,16,3.361209000237718,2.510763046719493,0.17669762793028465,3.2537893851972863,3.3353524667739647,0.1545314941321385,305.61533950512455,0.9743286409847953,1.4642918997483976,0.11009524631503653,7.7331434932146585,0.6557766307463928,,,,,
run006b,1.0,t = 0.5..2 s,505,16,3.361219630950495,2.51080154819802,0.1769712289527814,3.256111456062525,3.3360423665372005,0.15464177572624488,305.61641994240824,0.9748249084489727,1.4644209217976245,0.11014458316046828,7.733940111610683,0.656178507935172,0.0003162764581562836,0.15484136697335127,0.07136512510004223,0.0010804372836901166,0.010301352829200552
run004b,0.8,t = 1..2 s,420,11,3.362182192214286,2.507609556214286,0.20246731768988316,3.2299338381967555,3.007607442264467,0.15339852795488607,305.8803214787077,0.49490097435976793,1.494279093893565,0.05519044649474707,7.9117734808764,0.3397040657680803,,,,,
run006b,1.0,t = 1..2 s,337,11,3.3621778524332346,2.50732569421365,0.2027117895634057,3.238515902805207,3.999931321179061,0.15380611403673758,305.8811923136197,0.4972750288491095,1.4943839538549737,0.05545590088561125,7.912438276168529,0.3413495779050486,-0.0001290763201785911,0.12074633887182865,0.26570403724563946,0.0008708349120070125,0.008402607755839774
run004b,0.8,t = 1.5..2 s,210,6,3.3643594865238096,2.5273904655238093,0.21967023901824498,3.234477041180619,,0.15361429728170115,305.8917950461357,0.6494744623060815,1.4955772540624863,0.07257077813755898,7.921436337199395,0.44625131281964103,,,,,
run006b,1.0,t = 1.5..2 s,168,6,3.364370331428572,2.5276517310714284,0.21990983893553118,3.2352305739124327,,0.15365008464380098,305.892267285719,0.6527962211616409,1.4956368994147153,0.07294110433871143,7.921839927564386,0.4485500692984816,0.00032234678861339013,0.10907254362585647,0.023296895362678427,0.0004722395833027804,0.005094913950073439
