signal,expected_dt_s,t_min_s,t_max_s,n_samples,expected_n_0_10,missing_vs_expected_0_10,dt_median_s,dt_min_s,dt_max_s,max_abs_dt_error_s,is_regular
forceCoeffs,0.005,0.0,10.0,2001,2001,0,0.004999999999999893,0.004999999999999005,0.005000000000000782,9.948639134726989e-16,True
forces_raw,0.005,0.0,10.0,2001,2001,0,0.004999999999999893,0.004999999999999005,0.005000000000000782,9.948639134726989e-16,True
wallHeatFlux,0.005,0.0,10.0,2001,2001,0,0.004999999999999893,0.004999999999999005,0.005000000000000782,9.948639134726989e-16,True
hot_tube_surface,0.005,0.0,10.0,2001,2001,0,0.004999999999999893,0.004999999999999005,0.005000000000000782,9.948639134726989e-16,True
hot_fin_surface,0.005,0.0,10.0,2001,2001,0,0.004999999999999893,0.004999999999999005,0.005000000000000782,9.948639134726989e-16,True
midspan_z0,0.02,0.0,10.0,501,501,0,0.020000000000000018,0.019999999999999574,0.02000000000000135,1.349614864309956e-15,True
outlet_T_phi,0.08,2.0,10.0,101,101,0,0.08000000000000007,0.0799999999999983,0.08000000000000007,1.7069679003611782e-15,True
