side,x_m,x_mm,coh_f1,lag_phase_f1,xcorr_lag_f1,xcorr_corr_f1,coh_f2,lag_phase_f2,xcorr_lag_f2,xcorr_corr_f2
fin_z_min,-0.0136673275,-13.667327499999999,0.3857339418264292,-0.09948625144524281,-0.0799999999999983,-0.41022985838130477,0.9824055304235648,0.0029369225032278576,-0.0799999999999983,-0.41022985838130477
fin_z_min,-0.0133211825,-13.3211825,nan,nan,nan,nan,nan,nan,nan,nan
fin_z_min,-0.012975037499999998,-12.975037499999997,0.3857619697820368,-0.09947838773463472,-0.0799999999999983,-0.41025776898615046,0.98241345636873,0.0028815162924678635,-0.0799999999999983,-0.41025776898615046
fin_z_min,-0.012628892499999999,-12.6288925,nan,nan,nan,nan,nan,nan,nan,nan
fin_z_min,-0.0122827475,-12.2827475,nan,nan,nan,nan,nan,nan,nan,nan
fin_z_min,-0.0119366025,-11.936602500000001,0.3858239001310991,-0.09946250205364397,-0.0799999999999983,-0.40955246075330576,0.9824029568073708,0.0027971154258928425,-0.0799999999999983,-0.40955246075330576
fin_z_min,-0.011590457499999998,-11.590457499999998,nan,nan,nan,nan,nan,nan,nan,nan
fin_z_min,-0.011244312499999999,-11.2443125,nan,nan,nan,nan,nan,nan,nan,nan
fin_z_min,-0.0108981675,-10.8981675,0.3859063505330381,-0.0994534067826413,-0.0799999999999983,-0.40792192231774577,0.982358052173287,0.002814112303448225,-0.0799999999999983,-0.40792192231774577
fin_z_min,-0.010552022500000001,-10.552022500000001,nan,nan,nan,nan,nan,nan,nan,nan
fin_z_min,-0.010205877499999998,-10.205877499999998,nan,nan,nan,nan,nan,nan,nan,nan
fin_z_min,-0.0098597325,-9.8597325,0.3859997955584461,-0.09944633097158614,-0.0799999999999983,-0.40693132870522475,0.9823122156442108,0.002879253858296482,-0.0799999999999983,-0.40693132870522475
fin_z_min,-0.0095135875,-9.5135875,nan,nan,nan,nan,nan,nan,nan,nan
fin_z_min,-0.009167442500000001,-9.167442500000002,nan,nan,nan,nan,nan,nan,nan,nan
fin_z_min,-0.008821297499999999,-8.821297499999998,0.3860885211496791,-0.09943192310940001,-0.0799999999999983,-0.40724367472064393,0.982330237771026,0.0028683872336450686,-0.0799999999999983,-0.40724367472064393
fin_z_min,-0.0084751525,-8.4751525,nan,nan,nan,nan,nan,nan,nan,nan
fin_z_min,-0.0081290075,-8.1290075,nan,nan,nan,nan,nan,nan,nan,nan
fin_z_min,-0.0077828625,-7.7828625,0.38621393298893675,-0.09941290674349629,-0.0799999999999983,-0.40791408949637287,0.9823253328441881,0.002811353107803747,-0.0799999999999983,-0.40791408949637287
fin_z_min,-0.0074367175,-7.4367175,nan,nan,nan,nan,nan,nan,nan,nan
fin_z_min,-0.0070905725,-7.0905724999999995,nan,nan,nan,nan,nan,nan,nan,nan
fin_z_min,-0.0067444275000000005,-6.7444275000000005,0.3864635216055271,-0.09944216454172687,-0.0799999999999983,-0.40769301199190006,0.9821641957199603,0.003090194298790826,-0.0799999999999983,-0.40769301199190006
fin_z_min,-0.0063982825,-6.3982825,0.38698646385121244,-0.09959313732353427,-0.0799999999999983,-0.40821092684752497,0.9820588848960226,0.0034802859067489807,-0.0799999999999983,-0.40821092684752497
fin_z_min,-0.0060521375,-6.0521375,0.38686986510953975,-0.09944897922633875,-0.0799999999999983,-0.40858305874723777,0.9822307469698971,0.003293501193919955,-0.0799999999999983,-0.40858305874723777
fin_z_min,-0.0057059925,-5.7059925,0.3876022013874378,-0.09957107434942845,-0.0799999999999983,-0.4116089383318136,0.9824402085693634,0.003262808661452409,-0.0799999999999983,-0.4116089383318136
fin_z_min,-0.005359847500000001,-5.359847500000001,0.38764766970901654,-0.09953343254414113,-0.0799999999999983,-0.4167107940564455,0.9828977957473591,0.003510887303095411,-0.0799999999999983,-0.4167107940564455
fin_z_min,-0.005013702500000001,-5.013702500000001,0.38709871544579166,-0.09936264056968674,-0.0799999999999983,-0.41276403207335877,0.9826183465366637,0.003463866389890362,-0.0799999999999983,-0.41276403207335877
fin_z_min,-0.0046675575,-4.6675575,0.38842603723335173,-0.09957725455173244,-0.0799999999999983,-0.419098361840065,0.9831547494912412,0.0040518863579901985,-0.0799999999999983,-0.419098361840065
fin_z_min,-0.0043214125,-4.3214125,0.3881859683678577,-0.09952492024348698,-0.0799999999999983,-0.4262095082674967,0.983785402620186,0.004354676418122089,-0.0799999999999983,-0.4262095082674967
fin_z_min,-0.003975267500000001,-3.9752675000000006,0.3872787380024016,-0.09930180769560663,-0.0799999999999983,-0.41646487601128457,0.9829667306342494,0.0037148354191015327,-0.0799999999999983,-0.41646487601128457
fin_z_min,-0.003629122500000001,-3.6291225000000007,0.38907931672459145,-0.09953402094645411,-0.0799999999999983,-0.432874434630757,0.9843428845607494,0.004315810773006391,-0.0799999999999983,-0.432874434630757
fin_z_min,-0.0032829775,-3.2829775,0.38876880052580476,-0.09950120783542019,-0.0799999999999983,-0.4348473703134307,0.9845903118926923,0.0046285712807700476,-0.0799999999999983,-0.4348473703134307
fin_z_min,-0.0029368325,-2.9368325,0.3876484987945687,-0.09922301426673073,-0.0799999999999983,-0.4199887202371362,0.9832668234221832,0.0036129443233690714,-0.0799999999999983,-0.4199887202371362
fin_z_min,-0.002590687500000001,-2.590687500000001,0.3902441656147054,-0.09951429498543381,-0.0799999999999983,-0.4459363405209178,0.9854316683947727,0.0045331436722404386,-0.0799999999999983,-0.4459363405209178
fin_z_min,-0.002244542500000001,-2.244542500000001,0.3920413447476654,-0.09956623871212354,-0.0799999999999983,-0.4534712935623328,0.9859582289162315,0.00427960969018885,-0.0799999999999983,-0.4534712935623328
fin_z_min,-0.0018983975000000002,-1.8983975000000002,0.38866534776535366,-0.09911141592028706,-0.0799999999999983,-0.4281114175706366,0.9838963595770246,0.003734765365842135,-0.0799999999999983,-0.4281114175706366
fin_z_min,-0.0015522525000000002,-1.5522525000000003,0.3926810089179426,-0.09944695241735768,-0.0799999999999983,-0.46124316428679457,0.9863959940095774,0.004514611406644275,-0.0799999999999983,-0.46124316428679457
fin_z_min,-0.0012061075000000011,-1.2061075000000012,0.39366550002994005,-0.09957367421538622,-0.0799999999999983,-0.45920231778493453,0.9863485354061999,0.004162002448942603,-0.0799999999999983,-0.45920231778493453
fin_z_min,-0.0008599625000000012,-0.8599625000000012,0.38948297056654335,-0.09903089207447005,-0.0799999999999983,-0.4289605075758741,0.9839847052219641,0.0034603971805412213,-0.0799999999999983,-0.4289605075758741
fin_z_min,-0.0005138175000000004,-0.5138175000000004,0.39746441350628126,-0.09986034876308987,0.0749999999999984,-0.44424505362555455,0.9853374675001922,0.0014236949530285362,0.0749999999999984,-0.44424505362555455
fin_z_min,-0.0001676725000000004,-0.1676725000000004,0.3909545213945002,-0.09903127652353799,-0.0799999999999983,-0.43617150270322935,0.9846219449117837,0.0032054550698226163,-0.0799999999999983,-0.43617150270322935
fin_z_min,0.0001784724999999987,0.1784724999999987,0.4075758339248482,-0.10056194495620552,-0.0749999999999984,-0.44469964487330366,0.9840320649109531,-0.000675113011712592,-0.0749999999999984,-0.44469964487330366
fin_z_min,0.0005246174999999987,0.5246174999999986,0.3925308463520022,-0.09915039283704823,-0.0799999999999983,-0.44579912038906966,0.9854908795410844,0.003373455226899812,-0.0799999999999983,-0.44579912038906966
fin_z_min,0.0008707624999999995,0.8707624999999994,0.39355159337678275,-0.09903750737854511,-0.0799999999999983,-0.4423946982940295,0.9851081824138471,0.002822096929048274,-0.0799999999999983,-0.4423946982940295
fin_z_min,0.0012169074999999994,1.2169074999999994,0.42045241484576557,-0.10110843491580776,-0.0749999999999984,-0.48312646323418057,0.9840434145666037,-0.002243723990394425,-0.0749999999999984,-0.48312646323418057
fin_z_min,0.0015630524999999985,1.5630524999999986,0.3986985031376039,-0.0994113676758254,0.0749999999999984,-0.4538280985327581,0.9860752507608991,0.0020836466249702064,0.0749999999999984,-0.4538280985327581
fin_z_min,0.0019091974999999994,1.9091974999999994,0.396830120271767,-0.09905307414946268,0.0749999999999984,-0.4499228752602113,0.9856548123678349,0.002138254607071714,0.0749999999999984,-0.4499228752602113
fin_z_min,0.0022553425,2.2553425000000002,0.4425317938669036,-0.10148528557566827,-0.06999999999999851,-0.524638716248433,0.9794362180901045,-0.006473787933000719,-0.06999999999999851,-0.524638716248433
fin_z_min,0.0026014874999999993,2.6014874999999993,0.4034533827868174,-0.09945681606430969,-0.0749999999999984,-0.46482545631102995,0.9867378406275744,0.0010158366378196528,-0.0749999999999984,-0.46482545631102995
fin_z_min,0.0029476324999999984,2.9476324999999983,0.40123610752726857,-0.09904741396219552,-0.0749999999999984,-0.4611801900070276,0.986476034971025,0.0013049830315287221,-0.0749999999999984,-0.4611801900070276
