signal,band,frequency_hz,coherence,cross_phase_deg,phase_lag_s,xcorr_lag_s,xcorr_corr
Q_wall,f_shed,3.1250000000000666,0.5713193331301739,-55.65991399875532,-0.04715615098019482,0.009999999999999787,0.3471143605214815
Q_wall,2f_shed,6.640625000000141,0.9057663519762974,-24.43998966632376,-0.010353014942543183,0.009999999999999787,0.3471143605214815
Q_tube,f_shed,3.1250000000000666,0.7358285518375851,-55.92192839880411,-0.04737813462551563,0.08499999999999819,0.3421450238836787
Q_tube,2f_shed,6.640625000000141,0.9445045634052373,165.3454668534845,0.07004193178422873,0.08499999999999819,0.3421450238836787
Q_fins,f_shed,3.1250000000000666,0.37608132631411373,-55.454812394182035,-0.04698238495116801,0.009999999999999787,0.5751115819987535
Q_fins,2f_shed,6.640625000000141,0.9216032956107368,-21.902268232690712,-0.009278011708862723,0.009999999999999787,0.5751115819987535
Nu_tube,f_shed,3.1250000000000666,0.5607744138930741,-100.52436911091493,-0.08516618130400169,-0.004999999999999893,0.33029322292422847
Nu_tube,2f_shed,6.640625000000141,0.9495152577285509,15.188542894754331,0.006434013012760109,-0.004999999999999893,0.33029322292422847
Nu_fins,f_shed,3.1250000000000666,0.4361333924274939,-109.50993198482011,-0.0927789232053525,0.0,0.5062238018144981
Nu_fins,2f_shed,6.640625000000141,0.9905705762292298,0.4323344524302823,0.00018314103677197698,0.0,0.5062238018144981
