theta_rad,theta_deg,z_m,coh_f1,lag_phase_f1,xcorr_lag_f1,xcorr_corr_f1,coh_f2,lag_phase_f2,xcorr_lag_f2,xcorr_corr_f2
-3.0925052683774528,-177.1875,-0.0057,0.3877649952089569,-0.09989829378539469,0.06999999999999851,-0.35598223603035606,0.9759620096125978,0.007730762211957231,0.06999999999999851,-0.35598223603035606
-2.994330497952771,-171.56249999999997,-0.0057,0.38826763558868227,-0.09985100133312565,-0.08499999999999819,-0.3359044106544755,0.9725604913654557,0.007962569867082252,-0.08499999999999819,-0.3359044106544755
-2.8961557275280905,-165.9375,-0.0057,0.38940320799297046,-0.1001035058545569,0.06499999999999861,-0.2796112216371012,0.9594679284482645,0.013960455099217547,0.06499999999999861,-0.2796112216371012
-2.7979809571034098,-160.31250000000003,-0.0057,0.3903981326630966,-0.10021818836612188,0.05999999999999872,-0.2542531817489655,0.9510091459606101,0.01920362755655419,0.05999999999999872,-0.2542531817489655
-2.699806186678728,-154.68749999999997,-0.0057,0.39160294412320173,-0.1004765473142,0.049999999999998934,-0.24874685298809743,0.9511102313165608,0.028945741271464594,0.049999999999998934,-0.24874685298809743
-2.6016314162540475,-149.0625,-0.0057,0.3922979194717131,-0.10050631914729263,0.04499999999999904,-0.25255284650204407,0.9535233113126494,0.03216251484521911,0.04499999999999904,-0.25255284650204407
-2.5034566458293668,-143.43750000000003,-0.0057,0.39354152260391223,-0.10072628301469888,0.03999999999999915,-0.28533967817948963,0.9649708953172802,0.039199628835946486,0.03999999999999915,-0.28533967817948963
-2.405281875404685,-137.8125,-0.0057,0.3943483746549052,-0.10083657626289248,0.034999999999999254,-0.31582015108039224,0.9717185257685858,0.04204169149736563,0.034999999999999254,-0.31582015108039224
-2.3071071049800045,-132.1875,-0.0057,0.39601566559891394,-0.10116118711324361,0.02999999999999936,-0.3887268991783454,0.9820892132149556,0.04689112525495726,0.02999999999999936,-0.3887268991783454
-2.208932334555323,-126.56249999999997,-0.0057,0.39686583028177486,-0.10121545398685154,0.02999999999999936,-0.4113622453410485,0.9843387720324518,0.047578193084060354,0.02999999999999936,-0.4113622453410485
