x,y,emode_1,emode_2,emode_3,emode_4,emode_5,emode_6,emode_7,emode_8,emode_9
0.006000000052,0.03174481168,-7.798980607e-11,-1.502843463e-10,-5.153006943e-11,8.640433133e-11,8.247580695e-11,1.20476996e-08,-2.64843445e-09,9.966768703e-09,1.162268533e-28
0.006000000052,0.03123865835,-9.140221062e-11,-1.678462566e-10,-4.86972164e-11,1.089722277e-10,6.091801511e-11,1.432877324e-08,-2.913748138e-09,1.163230105e-08,1.354780257e-28
0.006000000052,0.03221971542,-9.450336395e-11,-1.465788812e-10,-5.726814085e-11,9.92370907e-11,-8.588977497e-12,1.14923704e-08,-2.586834755e-09,9.452212173e-09,1.10362558e-28
0.006000000052,0.0244954396,-1.187155656e-10,-1.552261415e-10,-5.961144223e-11,1.225649593e-10,2.887565589e-11,1.719236107e-08,-3.259502936e-09,1.364621836e-08,1.588298745e-28
0.006000000052,0.02499056794,6.304076003e-12,9.225869403e-12,-1.918825515e-12,7.134324847e-12,2.219764442e-11,9.185129334e-10,-1.727049256e-09,6.511740605e-11,3.601969385e-30
0.006000000052,0.02499068715,4.647415399e-12,9.291017642e-12,-2.726935335e-12,1.059026195e-11,2.529098405e-11,1.109107595e-09,-1.82142493e-09,2.588203313e-10,5.909736906e-30
0.006000000052,0.02548582479,4.740241987e-12,4.293637772e-12,-2.048221934e-12,2.096262308e-11,7.478235002e-12,9.7917495e-10,-1.97270426e-09,2.597551661e-10,6.100786181e-30
0.006000000052,0.02598125115,3.246751623e-12,5.316807951e-12,-4.028272722e-12,1.612907608e-11,2.770960698e-11,1.327795641e-09,-1.901391028e-09,5.035941356e-10,8.759651765e-30
0.006000000052,0.02548599988,5.024205793e-13,-1.570758882e-12,-5.873606946e-12,2.211419245e-11,2.817566439e-11,1.56266857e-09,-1.934396809e-09,7.914003376e-10,1.201183736e-29
0.006000000052,0.02598150261,3.406218653e-12,-1.13320593e-12,-6.121752316e-13,3.005649305e-11,7.489795485e-12,1.194759365e-09,-2.086099058e-09,5.142201408e-10,9.104646273e-30
0.006000000052,0.0264768973,-2.984046975e-11,2.624323294e-11,-1.862852801e-11,7.290195836e-12,-3.524459722e-12,1.427644853e-09,-2.187913401e-09,7.072018783e-10,1.143054875e-29
0.006000000052,0.0269415956,-9.390461974e-12,1.327572716e-11,-1.734746622e-11,1.888210468e-11,2.117271653e-11,1.879417828e-09,-1.992636852e-09,1.086195502e-09,1.540596568e-29
0.006000000052,0.02647725306,-2.112008606e-10,4.825182469e-11,-1.484430797e-10,-1.760692148e-10,2.271852036e-11,2.319880183e-09,-2.016298039e-09,1.532485298e-09,2.043465923e-29
0.006000000052,0.026973309,-5.843312546e-11,7.44013018e-11,-3.03401158e-11,-7.594849398e-12,-2.410073939e-11,1.712216976e-09,-2.273486216e-09,9.046320327e-10,1.379847091e-29
0.006000000052,0.02741894685,-2.605857326e-11,3.968214446e-11,-1.396665416e-11,3.999474222e-11,-2.358179526e-11,2.079825595e-09,-2.283245916e-09,1.449758261e-09,1.985278221e-29
0.006001348142,0.02789551392,3.155817008e-11,-5.653959208e-11,1.968821354e-12,8.699288771e-11,3.209298591e-11,2.734769774e-09,-2.032219477e-09,2.183196801e-09,2.765931037e-29
0.006000055932,0.02742933854,9.731930248e-12,-7.482362326e-11,-1.671027992e-11,7.972430088e-11,3.027055233e-11,3.262328423e-09,-2.062255229e-09,2.679420146e-09,3.326904829e-29
