run,Lout_D,source,window,Cd_mean,Cl_mean,Cl_rms,f_shed_Hz,f_psd_Hz,second_harmonic_Hz,St,T_out_K,T_out_std_K,Q_total_W,Q_total_std_W,Nu_EB_LMTD,Nu_EB_LMTD_std,Cd_diff_pct_vs_8D,St_diff_pct_vs_8D,Nu_diff_pct_vs_8D,Cd_diff_pct_vs_5D,St_diff_pct_vs_5D,Nu_diff_pct_vs_5D
run003,5,archived summary baseline,archived reported window,3.161,2.52,0.187,3.125,,6.25,0.1484,305.26,,1.417,,7.476,,-5.96431484125476,-4.361567426226904,-3.8821617853846995,0.0,0.0,0.0
run004b,8,raw forceCoeffs + reconstructed outlet fields,t = 3..6 s,3.361489837250396,2.513726092916006,0.18405572195137482,3.2671861955248613,2.666360781758051,6.530223878712672,0.15516774585941479,305.6821970821541,0.676068470331438,1.4723425656590374,0.07541233611589614,7.77795270770377,0.463166846775446,0.0,0.0,0.0,6.342607948446562,4.560475646505917,4.0389607772039895
run004c,16,raw forceCoeffs + reconstructed outlet fields,t = 3..6 s,3.3611458142155306,2.5106111287163233,0.18205445094005507,3.254226644121537,3.0001981930928485,6.5029586565190876,0.15455226077278048,305.7200790776137,0.12881802864149816,1.4771382844685372,0.014399841507464033,7.8029997399647435,0.08880158003554381,-0.010234242895901467,-0.39665787707707767,0.3220260292424396,6.331724587647281,4.145728283544792,4.373993311459919
