pair,peak_lag_samples,peak_lag_s,te_bits,excess_te_bits,surr_p95_bits
Ux_1D_to_T_1D,23,0.115,0.2259435545,0.2066923442,0.02741594724
T_1D_to_Ux_1D,1,0.005,0.2057542538,0.1844356911,0.02725316169
Ux_3D_to_T_3D,29,0.145,0.3986741545,0.3693286955,0.0384737616
T_3D_to_Ux_3D,27,0.135,0.3871995929,0.3636708944,0.03206868412
Uy_1D_to_T_1D,18,0.09,0.2161025237,0.1972077821,0.02780862327
