case,upstream_D,downstream_D,half_height_D,length_m,height_m,base_nx,base_ny,Re,cells,status,time_max_s,frequency_hz,frequency_peak_hz,frequency_fft_hz,selection_method,St,St_error_pct
v1_u10_d25_h10,10.0,25.0,10.0,0.42,0.24,140,80,100.0,59220,ok,7.632621360332688,1.7415111081017172,3.7694702746057316,1.7415111081017172,fft,0.16718506637776484,1.3242826531908076
v2_u12_d30_h15,12.0,30.0,15.0,0.504,0.36,158,112,100.0,59438,ok,12.00066939225243,1.7191879788576645,1.7194591155152865,1.7191879788576645,fft,0.16504204597033578,0.02548240626410576
v3_u11_d27_h12,11.0,27.0,12.0,0.456,0.28800000000000003,147,93,100.0,58111,ok,7.999606460644387,1.7292021438460208,1.7290898276680753,1.7292021438460208,fft,0.166003405809218,0.6081247328593837
