x,y,emode_1,emode_2,emode_3,emode_4,emode_5,emode_6,emode_7,emode_8,emode_9,emode_10
0,0,0,-0,0,0,0,0,0,0,0,-0
0.006000000052,0.001000000047,0,-0,0,0,0,0,0,0,0,-0
0.006000000052,0.001000000047,0,-0,0,0,0,0,0,0,0,-0
0.006000000052,0,0,-0,0,0,0,0,0,0,0,-0
0.006000000052,0.002000000095,0,-0,0,0,0,0,0,0,0,-0
0.006000000052,0.002000000095,0,-0,0,0,0,0,0,0,0,-0
0.006000000052,0.001333333319,0,-0,0,0,0,0,0,0,0,-0
0.006000000052,0.003000000026,0,-0,0,0,0,0,0,0,0,-0
0.006000000052,0.003000000026,0,-0,0,0,0,0,0,0,0,-0
0.006000000052,0.002666666638,0,-0,0,0,0,0,0,0,0,-0
0.006000000052,0.00400000019,0,-0,0,0,0,0,0,0,0,-0
0.006000000052,0.00400000019,0,-0,0,0,0,0,0,0,0,-0
0.006000000052,0.004999999888,0,-0,0,0,0,0,0,0,0,-0
0.006000000052,0.004999999888,0,-0,0,0,0,0,0,0,0,-0
0.006000000052,0.006000000052,0,-0,0,0,0,0,0,0,0,-0
0.006000000052,0.006000000052,0,-0,0,0,0,0,0,0,0,-0
0.006000000052,0.00549999997,0,-0,0,0,0,0,0,0,0,-0
0.006000000052,0.007000000216,0,-0,0,0,0,0,0,0,0,-0
0.006000000052,0.007000000216,0,-0,0,0,0,0,0,0,0,-0
0.006000000052,0.006500000134,0,-0,0,0,0,0,0,0,0,-0
0.006000000052,0.00800000038,0,-0,0,0,0,0,0,0,0,-0
0.006000000052,0.00800000038,0,-0,0,0,0,0,0,0,0,-0
0.006000000052,0.007499999832,0,-0,0,0,0,0,0,0,0,-0
0.006000000052,0.008999999613,0,-0,0,0,0,0,0,0,0,-0
0.006000000052,0.008999999613,0,-0,0,0,0,0,0,0,0,-0
0.006000000052,0.009499999695,0,-0,0,0,0,0,0,0,0,-0
0.006000000052,0.01099999994,0,-0,0,0,0,0,0,0,0,-0
0.006000000052,0.01099999994,0,-0,0,0,0,0,0,0,0,-0
0.006000000052,0.01049999986,0,-0,0,0,0,0,0,0,0,-0
0.006000000052,0.01049999986,0,-0,0,0,0,0,0,0,0,-0
0.006000000052,0.01150000002,0,-0,0,0,0,0,0,0,0,-0
0.006000000052,0.01150000002,0,-0,0,0,0,0,0,0,0,-0
0.006000000052,0.01250000019,0,-0,0,0,0,0,0,0,0,-0
0.006000000052,0.01300000027,0,-0,0,0,0,0,0,0,0,-0
0.006000000052,0.01300000027,0,-0,0,0,0,0,0,0,0,-0
0.006000000052,0.01350000035,0,-0,0,0,0,0,0,0,0,-0
0.006000000052,0.01449999958,0,-0,0,0,0,0,0,0,0,-0
0.006000000052,0.01499999966,0,-0,0,0,0,0,0,0,0,-0
0.006000000052,0.01499999966,0,-0,0,0,0,0,0,0,0,-0
0.006000000052,0.01600000076,0,-0,0,0,0,0,0,0,0,-0
0.006000000052,0.01600000076,0,-0,0,0,0,0,0,0,0,-0
0.006000000052,0.01700000092,0,-0,0,0,0,0,0,0,0,-0
0.006000000052,0.01700000092,0,-0,0,0,0,0,0,0,0,-0
0.006000000052,0.01649999991,0,-0,0,0,0,0,0,0,0,-0
0.006000000052,0.01800000109,0,-0,0,0,0,0,0,0,0,-0
0.006000000052,0.01733333431,0,-0,0,0,0,0,0,0,0,-0
0.006000000052,0.01900000125,0,-0,0,0,0,0,0,0,0,-0
0.006000000052,0.01900000125,0,-0,0,0,0,0,0,0,0,-0
