n_modes,rel_error,captured_target_energy_pct
1,0.9646304731,6.948805041
2,0.915070298,16.26463497
3,0.8668893238,24.85029003
4,0.8212179056,32.56011515
5,0.7959025617,36.65391123
6,0.7288530014,46.87733023
7,0.6476823275,58.05076027
8,0.6222550666,61.27986321
9,0.5267007832,72.25862849
10,0.3902337677,84.77176066
11,0.3338953124,88.85139204
12,2.474525831e-15,100
