pair,lag_s,lag_over_period,correlation,interpretation
Q_wall -> Q_air,1.6599999999999646,5.442641999999884,0.15067494627965658,positive lag means the second signal lags the first
Q_wall -> T_out,1.6599999999999646,5.442641999999884,0.15194622667604388,positive lag means the second signal lags the first
