phase_bin,phase_deg,midspan_speed_mean,midspan_speed_max,midspan_T_mean,midspan_T_max
0,11.25,0.2669545658506699,0.5619319674518333,308.7909252507327,343.14999999999986
1,33.75,0.26761525345053283,0.5620561905657222,308.79101702024684,343.14999999999986
2,56.25,0.2659314838944209,0.5626730450869827,308.8349483811187,343.1499999999998
3,78.75,0.2652975449124667,0.5638964195719777,308.82990320705574,343.1499999999998
4,101.25,0.26405743758945915,0.5635255154547537,308.82307982457996,343.14999999999975
5,123.74999999999999,0.2643176013396643,0.5647560692468719,308.8347087977854,343.1499999999998
6,146.25,0.2654218467435856,0.5633151494313458,308.8310135214165,343.14999999999986
7,168.75,0.26655091304617584,0.5579276987639981,308.8467024952273,343.14999999999986
8,191.25,0.26613938177183905,0.5587767685973059,308.84900677547904,343.14999999999986
9,213.75,0.26495052928350377,0.561521835118089,308.85817643717564,343.14999999999986
10,236.25,0.2640655172234018,0.5670828201067573,308.87473820245486,343.14999999999986
11,258.75,0.2653660212369438,0.5714639946124658,308.8607455172286,343.1499999999999
12,281.25,0.2661856824288338,0.57288214060823,308.85592894114166,343.14999999999986
13,303.75,0.2648789411688611,0.5634878520505093,308.82628471852513,343.1499999999998
14,326.25,0.2678510370049586,0.5646036979779696,308.834251981046,343.14999999999986
15,348.75,0.2681293740221254,0.5609318088447337,308.8270573618681,343.14999999999986
