phase_bin,phase_deg,x_m,x_mm,Nu_fin_z_min,Nu_fin_z_max
0,11.25,-0.0136673275,-13.667327499999999,12.97759059038929,12.977901087103351
0,11.25,-0.0133211825,-13.3211825,nan,nan
0,11.25,-0.012975037499999998,-12.975037499999997,21.750754905290957,21.751500316751635
0,11.25,-0.012628892499999999,-12.6288925,nan,nan
0,11.25,-0.0122827475,-12.2827475,nan,nan
0,11.25,-0.0119366025,-11.936602500000001,15.43137113442445,15.431796724256508
0,11.25,-0.011590457499999998,-11.590457499999998,nan,nan
0,11.25,-0.011244312499999999,-11.2443125,nan,nan
0,11.25,-0.0108981675,-10.8981675,12.034170091193044,12.03385063327554
0,11.25,-0.010552022500000001,-10.552022500000001,nan,nan
0,11.25,-0.010205877499999998,-10.205877499999998,nan,nan
0,11.25,-0.0098597325,-9.8597325,10.255268614081244,10.25457184346284
0,11.25,-0.0095135875,-9.5135875,nan,nan
0,11.25,-0.009167442500000001,-9.167442500000002,nan,nan
0,11.25,-0.008821297499999999,-8.821297499999998,9.21738527579955,9.216724452403348
0,11.25,-0.0084751525,-8.4751525,nan,nan
0,11.25,-0.0081290075,-8.1290075,nan,nan
0,11.25,-0.0077828625,-7.7828625,8.631202270220234,8.630816453541694
0,11.25,-0.0074367175,-7.4367175,nan,nan
0,11.25,-0.0070905725,-7.0905724999999995,nan,nan
0,11.25,-0.0067444275000000005,-6.7444275000000005,8.189790530212505,8.18974307873615
0,11.25,-0.0063982825,-6.3982825,6.146025215865738,6.14589607760011
0,11.25,-0.0060521375,-6.0521375,5.219648108595305,5.220541261621957
0,11.25,-0.0057059925,-5.7059925,2.858318171825247,2.8582372516663628
0,11.25,-0.005359847500000001,-5.359847500000001,4.37029287408264,4.370197072586463
0,11.25,-0.005013702500000001,-5.013702500000001,5.862931542945466,5.8710135454874175
0,11.25,-0.0046675575,-4.6675575,2.478352965360739,2.478270770621393
0,11.25,-0.0043214125,-4.3214125,4.805372451503465,4.799775910310818
0,11.25,-0.003975267500000001,-3.9752675000000006,5.796530991427217,5.827579814817638
0,11.25,-0.003629122500000001,-3.6291225000000007,2.9993391931273026,3.0007528369992342
0,11.25,-0.0032829775,-3.2829775,4.265533615619819,4.275881123398167
0,11.25,-0.0029368325,-2.9368325,5.745337292215646,5.682685251158561
0,11.25,-0.002590687500000001,-2.590687500000001,3.499016694644136,3.5071095897389672
0,11.25,-0.002244542500000001,-2.244542500000001,1.7635420648608973,1.7671262412612885
0,11.25,-0.0018983975000000002,-1.8983975000000002,5.427756875171496,5.433034825582904
0,11.25,-0.0015522525000000002,-1.5522525000000003,2.8609453210263216,2.8665394717999786
0,11.25,-0.0012061075000000011,-1.2061075000000012,1.9313381582753208,1.9342596117033748
0,11.25,-0.0008599625000000012,-0.8599625000000012,4.519590209351336,4.522734074358649
0,11.25,-0.0005138175000000004,-0.5138175000000004,2.08647641890631,2.089578976538619
0,11.25,-0.0001676725000000004,-0.1676725000000004,4.9372602638452525,4.871130396778589
0,11.25,0.0001784724999999987,0.1784724999999987,1.2262188841443236,1.2273944117065214
