label,time_s,n_cells,missing_processors,Q_min,Q_p50,Q_p95,Q_p99,Q_max,Q_positive_fraction,Q_positive_mean,Lambda2_min,Lambda2_p01,Lambda2_negative_fraction,Lambda2_negative_mean,vorticity_mag_p95,vorticity_mag_p99,vorticity_mag_max,status
cl_zero_down,2.72,407440,,-8909.8071,-0.590776415,8255.808114999996,21948.62619,48091.439,0.47259719222462204,2640.9093595885734,-639769.64,-6114.387328,0.4393407618299627,-1080.99189193922,608.9539861352251,992.7172514405563,1302.3200061542616,ok
cl_zero_up,7.44,407440,,-14802.868,-2.0726820999999997,8247.299659999997,22004.30327999999,47738.631,0.4623969173375221,2672.4288341052165,-548502.69,-6441.74424,0.4224057529943059,-1124.9676560488226,607.9443180018357,991.3695838558316,1294.8804691058435,ok
nu_global_max,6.88,407440,,-8638.6195,-0.3429337,8313.925674999997,22157.35274999994,46837.958,0.4772211859414883,2588.862155101865,-534463.51,-5834.751026,0.41753632436677796,-1087.0879804999774,609.0418729952141,992.7564400035394,1281.2774779753222,ok
cl_min_qtube_max,3.84,407440,,-8558.18,-0.137910335,8326.306624999996,22176.94101,46535.12,0.48341350873748284,2626.4816198039357,-528867.79,-5871.7508530000005,0.4230095228745337,-1107.5721767326409,609.3627954619819,993.6008591977632,1276.518823726243,ok
cl_max,2.16,407440,,-8308.7224,-0.16305939,8363.720719999988,22153.314499999997,47784.797,0.48359267622226587,2625.9245198427425,-535839.79,-5902.744321,0.4359390339681916,-1080.2874655993107,608.8244039975689,990.8751672321768,1265.017234908774,ok
qfins_qwall_max,5.04,407440,,-8932.5224,-0.45433084999999995,8245.243164999987,22003.12743999999,47557.993,0.47483555860985666,2595.31329746165,-547712.22,-6066.534805,0.41894266640486943,-1098.7477564432018,609.5682481856142,991.6507589704462,1293.0828934180927,ok
