lag_s,te_bits,surrogate_mean_bits,surrogate_p95_bits,surrogate_p99_bits,z_score,p_empirical,pair
0.004999999999999893,0.032031577287942425,0.025765954294605906,0.0359199394268586,0.040984418161511445,0.9430430310826826,0.17131474103585656,Cl->Q_wall
0.009999999999999787,0.0572957046741845,0.04687045807472072,0.0697152626357356,0.08924380410798138,0.7256448730033536,0.21912350597609562,Cl->Q_wall
0.019999999999999574,0.08396695210091401,0.08452872753180267,0.11872832070253937,0.14695040469120155,-0.02329393375649266,0.545816733067729,Cl->Q_wall
0.03999999999999915,0.10275470078698515,0.11023842632295786,0.17512857516856384,0.22347563061039272,-0.17786465425918108,0.5139442231075697,Cl->Q_wall
0.05999999999999872,0.16970684312086357,0.10729744757957022,0.164799894919748,0.20054833989534926,1.7235714784957437,0.043824701195219126,Cl->Q_wall
0.0799999999999983,0.25010641704106995,0.10592626949210565,0.15304262237109897,0.19113517734260418,4.959808300727146,0.00398406374501992,Cl->Q_wall
0.11999999999999744,0.1277686205212269,0.10164364726755948,0.14688300776029686,0.16905022213241006,0.872315850916701,0.22310756972111553,Cl->Q_wall
0.1599999999999966,0.12117858317312791,0.06577013967921465,0.10669364564359889,0.1139479334748673,2.206569861313161,0.00796812749003984,Cl->Q_wall
0.23999999999999488,0.23675922203929847,0.10195199864439004,0.13448240636248268,0.14480508479116813,6.330622187374196,0.00398406374501992,Cl->Q_wall
0.3199999999999932,0.09546899927975937,0.08601729678749141,0.1140906755525597,0.11731778075285901,0.4433635334368846,0.4103585657370518,Cl->Q_wall
0.47999999999998977,0.18875492340159655,0.1072477229678386,0.16795169902768314,0.17978908043527178,2.2032475907026923,0.00398406374501992,Cl->Q_wall
0.004999999999999893,0.013817016353583369,0.01325581520683994,0.02602837783893417,0.031656083736398735,0.07377921226569392,0.4342629482071713,Q_wall->Cl
0.009999999999999787,0.03367978381165353,0.026377863687818404,0.04927293316556809,0.05472141559777072,0.5102778725260928,0.32270916334661354,Q_wall->Cl
0.019999999999999574,0.11218457198696205,0.06513850870029037,0.11047148432838615,0.11945951700159457,1.776745340941363,0.0398406374501992,Q_wall->Cl
0.03999999999999915,0.1396265034888194,0.08521380298274549,0.14309768414904156,0.16593805817868237,1.6228028872611546,0.055776892430278883,Q_wall->Cl
0.05999999999999872,0.07966898590010354,0.05280435323129427,0.0895483074323751,0.09717102545202155,1.2059023989044668,0.14342629482071714,Q_wall->Cl
0.0799999999999983,0.04866962295089486,0.019634413001094614,0.03524005700907128,0.04168577757084089,3.4085981896660935,0.00796812749003984,Q_wall->Cl
0.11999999999999744,0.1291294398195173,0.07243566946178188,0.12217563172141821,0.12890174038107577,2.0334624986715757,0.01195219123505976,Q_wall->Cl
0.1599999999999966,0.020182152824263867,0.022718697650940357,0.042488360523200853,0.045578705987969995,-0.21101375815203993,0.5059760956175299,Q_wall->Cl
0.23999999999999488,0.05234395422821881,0.03661237016379723,0.06684620095444666,0.07208650165267262,0.8636963979559107,0.23904382470119523,Q_wall->Cl
0.3199999999999932,0.04872341639991501,0.05193929757002984,0.08338997080908468,0.08723499684081017,-0.1441942680309424,0.5657370517928287,Q_wall->Cl
0.47999999999998977,0.09632341930037747,0.06387373023685927,0.11059593357413808,0.12131967597453974,1.1748230672986824,0.14741035856573706,Q_wall->Cl
0.004999999999999893,0.021266905042809245,0.020767062380838957,0.038995472037024595,0.04448397735821334,0.05506661229459875,0.35856573705179284,Cl->Q_tube
0.009999999999999787,0.03554710223156225,0.03635042586877112,0.06903239044481717,0.08322581039341519,-0.04712669958668731,0.41832669322709165,Cl->Q_tube
0.019999999999999574,0.056498382984139416,0.06458761006747747,0.1416413491088266,0.15645083647689995,-0.23053398987607238,0.50199203187251,Cl->Q_tube
0.03999999999999915,0.13683276552849866,0.10253523601164857,0.21841867766474257,0.28860865654064294,0.5859423388982851,0.26294820717131473,Cl->Q_tube
0.05999999999999872,0.295818382283613,0.1098789632836751,0.24783575817400358,0.27438421722402107,2.9682898353463654,0.00398406374501992,Cl->Q_tube
0.0799999999999983,0.3769134789107594,0.0865306487501978,0.19220157195327936,0.22337804196563904,6.295257708075294,0.00398406374501992,Cl->Q_tube
0.11999999999999744,0.1352296906369128,0.07060182163593041,0.11088126836375774,0.12346207344608641,2.7297271136289476,0.00398406374501992,Cl->Q_tube
0.1599999999999966,0.20736850800337844,0.07775039453816814,0.11597290008015197,0.1275610086089983,5.079585422552822,0.00398406374501992,Cl->Q_tube
0.23999999999999488,0.2690281527242358,0.0625967736667363,0.09543364238097586,0.11420300081800114,12.651398186665517,0.00398406374501992,Cl->Q_tube
0.3199999999999932,0.05066936985878986,0.04357778346921645,0.06556074637098937,0.06858828003882415,0.5756403591170518,0.26693227091633465,Cl->Q_tube
0.47999999999998977,0.1993209437532782,0.08413917680710607,0.14184288524236752,0.1794431817782777,3.544225986323097,0.00796812749003984,Cl->Q_tube
0.004999999999999893,0.0072998252407736035,0.009180787373944326,0.017162851412863986,0.019826385654737776,-0.391510319233998,0.6175298804780877,Q_tube->Cl
0.009999999999999787,0.017414552854137153,0.019060097707691633,0.035104742519047674,0.03886340745106419,-0.17743686572579428,0.549800796812749,Q_tube->Cl
0.019999999999999574,0.09798191254979198,0.05348767874282858,0.08568154328908795,0.09409496412874482,2.3211794887799964,0.00796812749003984,Q_tube->Cl
0.03999999999999915,0.13471643218213364,0.07084884917963588,0.11949804456321074,0.14192332369735916,2.334335547685268,0.01593625498007968,Q_tube->Cl
0.05999999999999872,0.07884714872518593,0.04104442304374067,0.06703917487641753,0.07483177680473331,2.4592708041335865,0.01195219123505976,Q_tube->Cl
0.0799999999999983,0.05214692308736557,0.016962565603307275,0.030406835435438696,0.040221883146410536,4.727399987988003,0.00398406374501992,Q_tube->Cl
0.11999999999999744,0.10861820945404174,0.057418650588057216,0.0954599458510082,0.10081908522107133,2.482239431479776,0.00796812749003984,Q_tube->Cl
0.1599999999999966,0.012192057741511992,0.01820773510129148,0.03503318303944772,0.037854812730929416,-0.6508035462192517,0.6693227091633466,Q_tube->Cl
0.23999999999999488,0.02713621070561665,0.030036099400029225,0.05429529506295344,0.06852348155644597,-0.20492303981366175,0.5338645418326693,Q_tube->Cl
0.3199999999999932,0.02537065003312578,0.03840082244012584,0.059688368879169555,0.06479791552323703,-0.8442197034693169,0.7091633466135459,Q_tube->Cl
0.47999999999998977,0.05132880968026214,0.05306311769776736,0.10157300557108288,0.1172521444389255,-0.07181639409053454,0.4541832669322709,Q_tube->Cl
0.004999999999999893,0.07026423110699502,0.04029176399947268,0.07638348070814116,0.1017210736753047,1.8684540820945557,0.07171314741035857,Cl->Q_fins
0.009999999999999787,0.11948650560417365,0.07949460503675598,0.1543376584464274,0.18465632132729956,1.1839430837373721,0.14342629482071714,Cl->Q_fins
0.019999999999999574,0.18147141992281723,0.13712433404177235,0.2687608024602128,0.2941087408950983,0.7742776771355427,0.18326693227091634,Cl->Q_fins
0.03999999999999915,0.2484699580821816,0.20391459014523577,0.35261698078901305,0.4262912099361633,0.6312638821739304,0.19123505976095617,Cl->Q_fins
0.05999999999999872,0.32293147009095546,0.16786388752232825,0.3160252222805828,0.36559598666924553,2.452515729800261,0.05179282868525897,Cl->Q_fins
0.0799999999999983,0.4721580447506201,0.14826667270283872,0.26742836084445254,0.31589339267629446,6.21808290663805,0.00398406374501992,Cl->Q_fins
0.11999999999999744,0.22473504432331148,0.15324374875814029,0.23053539260480924,0.25068646697076735,1.4168910746945744,0.099601593625498,Cl->Q_fins
