run,model,force_window,thermal_times,n_force,Cd_mean,Cl_mean,Cl_rms,f_fft_Hz,St_fft,n_thermal_times,capacity_case,k_case,T_out_mass_K,T_out_mass_K_std,Q_air_case_W,Q_air_case_W_std,Q_air_Cp1005_W,Q_air_Cp1005_W_std,Q_wall_hot_W,Q_wall_hot_W_std,Nu_wall_case_k,Nu_wall_case_k_std,Nu_wall_ref_k,Nu_wall_ref_k_std,Nu_air_case_k,Nu_air_case_k_std,Nu_air_ref_k,Nu_air_ref_k_std,wall_vs_air_case_pct,wall_vs_air_Cp1005_pct,Cd_mean_diff_pct_vs_run004b,Cl_rms_diff_pct_vs_run004b,Q_wall_hot_W_diff_pct_vs_run004b,Q_air_case_W_diff_pct_vs_run004b,Q_air_Cp1005_W_diff_pct_vs_run004b,Nu_wall_case_k_diff_pct_vs_run004b,Nu_wall_ref_k_diff_pct_vs_run004b,Nu_air_case_k_diff_pct_vs_run004b,Nu_air_ref_k_diff_pct_vs_run004b,T_out_mass_K_diff_pct_vs_run004b,Cd_mean_diff_pct_vs_run007a,Cl_rms_diff_pct_vs_run007a,Q_wall_hot_W_diff_pct_vs_run007a,Q_air_case_W_diff_pct_vs_run007a,Q_air_Cp1005_W_diff_pct_vs_run007a,Nu_wall_case_k_diff_pct_vs_run007a,Nu_wall_ref_k_diff_pct_vs_run007a,Nu_air_case_k_diff_pct_vs_run007a,Nu_air_ref_k_diff_pct_vs_run007a,T_out_mass_K_diff_pct_vs_run007a
run004b,baseline eConst/Boussinesq Cv=718,0.5..2.0,"0.5,1,1.3,1.5,1.7,2",631,3.361209000237718,2.510763046719493,0.17669762793028465,4.66949345348355,0.22176721194365223,6.0,718.0,0.0183981206171108,305.5937250311978,1.4922624863577216,1.0445444831670454,0.12069913577196476,1.4620713169678003,0.16894516915156624,1.0590850393333333,0.0030742796821456066,7.8217339354660815,0.13636185698906775,5.588064642452385,0.09742070976930431,7.730759354732702,1.008487828159859,7.730759354732704,1.0084878281598584,1.392047576777308,-27.56269635808348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.2360958725939457,-1.274549760379596,-20.940627054978194,-43.384809522504874,-20.75450357955069,6.00588212066754,-24.266444415284283,-24.055065901812377,-24.055065901812362,-1.0558156101721816
run007a,variable props: incompressiblePerfectGas + Sutherland,0.5..2.0,"0.5,1,1.3,1.5,1.7,2",613,3.473618629331158,2.5229578139641107,0.17897880182001188,4.669112970589067,0.22174914175433888,6.0,1005.0,0.025752244039270688,308.85466075216345,1.448492498620565,1.8449897887074282,0.16254157432885158,1.8449897887074282,0.16254157432885158,1.3396071836666668,0.0018313652750775896,7.378584828493314,0.14074151139890234,7.378584828493314,0.14074151139890234,10.179427300230143,1.0689300701341593,10.179427300230143,1.0689300701341593,-27.392162717324567,-27.392162717324567,3.344321316689618,1.2910042519796938,26.48721622108031,76.63104046210105,26.19013636993886,-5.66561213445777,32.041866023495736,31.674352196700948,31.67435219670092,1.0670820288056537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
run007c,constant props: eConst/Boussinesq capacity=1005,0.5..2.0,"0.5,1,1.3,1.5,1.7,2",631,3.3612089576545165,2.5107632535657682,0.17669771834524226,4.66949345348355,0.22176721194365223,6.0,1005.0,0.025752244039270688,305.5937087179173,1.4922655327291987,1.4620693919053525,0.1689455215516336,1.4620693919053525,0.1689455215516336,1.4824247686666665,0.004303098161377809,7.821736148249292,0.1363621981137993,7.821736148249292,0.1363621981137993,7.730747673956089,1.0084895699806922,7.730747673956089,1.0084895699806922,1.3922305517104867,1.3922305517104867,-1.2669013264713226e-06,5.116931034290632e-05,39.97221314728557,39.97196054995925,-0.00013166679528918751,2.8290187689113917e-05,39.972184445179145,-0.00015109481587304344,-0.00015109481589602118,-5.338224947854685e-06,-3.2360970984971305,-1.2744992432475757,10.661154011513341,-20.75460791955624,-20.75460791955624,6.005912109930552,6.005912109930552,-24.05518065067072,-24.05518065067072,-1.0558208920353174
