run,model,time_for_thermal,force_window,capacity_used_in_case,n_force,Cd_mean_0p1_0p2,Cl_mean_0p1_0p2,Cl_rms_0p1_0p2,T_out_area_K,T_out_mass_K,m_dot_proxy,Q_air_case_capacity_W,Q_air_Cp1005_W,Q_wall_hot_fin_z_min_W,Q_wall_hot_fin_z_max_W,Q_wall_hot_tube_W,Q_wall_hot_total_W,k_case_W_mK,Nu_wall_case_k,wall_vs_air_case_capacity_pct,wall_vs_air_Cp1005_pct,Cd_mean_0p1_0p2_diff_pct_vs_run004b,Cl_rms_0p1_0p2_diff_pct_vs_run004b,T_out_mass_K_diff_pct_vs_run004b,Q_wall_hot_total_W_diff_pct_vs_run004b,Q_air_case_capacity_W_diff_pct_vs_run004b,Q_air_Cp1005_W_diff_pct_vs_run004b,Nu_wall_case_k_diff_pct_vs_run004b
run004b,baseline eConst Cv=718,0.2,0.1..0.2,718.0,42,3.351839583809524,2.6031757423809525,0.14069722285562758,293.1503,293.1503,0.00012241218710999999,2.636758510686735e-05,3.690727441838675e-05,0.411333392,0.411364066,0.267986351,1.090683809,0.0183981206171108,7.001873260152372,4136356.958722151,2955100.095883089,0.0,0.0,0.0,0.0,0.0,0.0,0.0
run007c,eConst Cp-scale capacity=1005,0.2,0.1..0.2,1005.0,42,3.3518394757142858,2.60317665047619,0.14069726774481223,293.15021,293.15021,0.00012241221733,2.583509847220035e-05,2.583509847220035e-05,0.57575253,0.575795535,0.375106442,1.526654507,0.025752244039270688,7.001871480835187,5909126.584302531,5909126.584302531,-3.2249526085910516e-06,3.1904812146321173e-05,-3.070097489245125e-05,39.97223525301273,-2.019474413408888,-29.99998271525132,-2.5412016456690997e-05
