run,model,time_for_thermal,force_window,n_force,Cd_mean_0p1_0p2,Cl_mean_0p1_0p2,Cl_rms_0p1_0p2,T_out_area_K,T_out_mass_K,m_dot_proxy,Q_air_Cp1005_W,Q_wall_hot_fin_z_min_W,Q_wall_hot_fin_z_max_W,Q_wall_hot_tube_W,Q_wall_hot_total_W,k_ref_W_mK,Nu_wall_ref_k,Cd_mean_0p1_0p2_diff_pct_vs_run007a,Cl_rms_0p1_0p2_diff_pct_vs_run007a,T_out_mass_K_diff_pct_vs_run007a,Q_wall_hot_total_W_diff_pct_vs_run007a,Q_air_Cp1005_W_diff_pct_vs_run007a,Nu_wall_ref_k_diff_pct_vs_run007a
run007a,variable props: incompressiblePerfectGas + Sutherland,0.2,0.1..0.2,41,3.4687003512195123,2.612488597317073,0.12764348996373043,293.15049000000005,293.15049,0.00012334975578,6.0743587235525145e-05,0.522029337,0.522055275,0.326074212,1.370158824,0.025752244039270688,6.284134892676447,0.0,0.0,0.0,0.0,0.0,0.0
run007c,constant props: eConst/Boussinesq capacity=1005,0.2,0.1..0.2,42,3.3518394757142858,2.60317665047619,0.14069726774481223,293.15021,293.15021,0.00012241221733,2.583509847220035e-05,0.57575253,0.575795535,0.375106442,1.526654507,0.025752244039270688,7.001871480835187,-3.3690103979186614,10.226747783839972,-9.55140821955266e-05,11.421718435759967,-57.46859932386244,11.421406453180891
