run,model,force_window,thermal_times,n_force,Cd_mean,Cl_mean,Cl_rms,f_fft_Hz,St_fft,n_thermal_times,capacity_case,k_case,T_out_mass_K,T_out_mass_K_std,Q_air_case_W,Q_air_case_W_std,Q_air_Cp1005_W,Q_air_Cp1005_W_std,Q_wall_hot_W,Q_wall_hot_W_std,Nu_wall_case_k,Nu_wall_case_k_std,Nu_wall_ref_k,Nu_wall_ref_k_std,Nu_air_case_k,Nu_air_case_k_std,Nu_air_ref_k,Nu_air_ref_k_std,wall_vs_air_case_pct,wall_vs_air_Cp1005_pct,Cd_mean_diff_pct_vs_run004b,Cl_rms_diff_pct_vs_run004b,Q_wall_hot_W_diff_pct_vs_run004b,Q_air_case_W_diff_pct_vs_run004b,Q_air_Cp1005_W_diff_pct_vs_run004b,Nu_wall_case_k_diff_pct_vs_run004b,Nu_wall_ref_k_diff_pct_vs_run004b,Nu_air_case_k_diff_pct_vs_run004b,Nu_air_ref_k_diff_pct_vs_run004b,T_out_mass_K_diff_pct_vs_run004b,Cd_mean_diff_pct_vs_run007a,Cl_rms_diff_pct_vs_run007a,Q_wall_hot_W_diff_pct_vs_run007a,Q_air_case_W_diff_pct_vs_run007a,Q_air_Cp1005_W_diff_pct_vs_run007a,Nu_wall_case_k_diff_pct_vs_run007a,Nu_wall_ref_k_diff_pct_vs_run007a,Nu_air_case_k_diff_pct_vs_run007a,Nu_air_ref_k_diff_pct_vs_run007a,T_out_mass_K_diff_pct_vs_run007a
run004b,baseline eConst/Boussinesq Cv=718,0.5..1.3,"0.5,1,1.3",337,3.3594461851632045,2.5140284535905044,0.12974523937036403,4.999312094655689,0.2374312151655055,3.0,718.0,0.0183981206171108,304.66990863306586,1.6131982445529367,0.9699824894699846,0.1307502339709737,1.357705295149491,0.1830139068813768,1.0580743973333335,0.0038762816928868227,7.72433042811679,0.1263591335876732,5.518476863072493,0.09027448548850686,7.100484216666452,1.0806370154492633,7.100484216666453,1.0806370154492633,9.081803931479621,-22.06892017631606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.2462587053535716,-9.630289533748787,-20.974298843875726,-44.239621965767135,-21.95100289080218,6.084332744909993,-24.21039710363644,-25.083745749686273,-25.083745749686265,-1.0533174050170244
run007a,variable props: incompressiblePerfectGas + Sutherland,0.5..1.3,"0.5,1,1.3",327,3.4721615311314986,2.5306537305198775,0.14357160015336964,3.7521294741814506,0.1781990489182626,3.0,1005.0,0.025752244039270688,307.9132120883393,1.4740748885846593,1.7395550813419611,0.1658645505019989,1.7395550813419611,0.1658645505019989,1.3388990946666668,0.002090245927158365,7.281311224995577,0.13152894128409107,7.281311224995577,0.13152894128409107,9.477895401633374,1.0735092725173832,9.477895401633374,1.0735092725173832,-23.03209544628001,-23.03209544628001,3.355176411698297,10.656545743106305,26.541110723508307,79.33881283697035,28.124644394969845,-5.735373534884135,31.944219495043786,33.482381094328716,33.482381094328694,1.0645302878203136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
run007c,constant props: eConst/Boussinesq capacity=1005,0.5..1.3,"0.5,1,1.3",337,3.3594462307121664,2.5140287530860537,0.12974558957933635,4.999312094655689,0.2374312151655055,3.0,1005.0,0.025752244039270688,304.6698950670382,1.6132030234633261,1.3577036723829314,0.18301446069599225,1.3577036723829314,0.18301446069599225,1.4810101696666667,0.005425675252578959,7.72433302039003,0.12635988653958413,7.72433302039003,0.12635988653958413,7.100474681524673,1.0806398499975964,7.100474681524673,1.0806398499975964,9.08198893410354,9.08198893410354,1.3558473458125893e-06,0.0002699204795653837,39.97221494058062,39.971977548254976,-0.00011952273924024295,3.355984397282032e-05,39.97219182123006,-0.00013428861310599963,-0.00013428861311850831,-4.452696918337219e-06,-3.2462573935205383,-9.630045607392915,10.614024280551174,-21.951096177101476,-21.951096177101476,6.084368346646541,6.084368346646541,-25.083846353685097,-25.083846353685097,-1.0533218108129112
