x_m,x_mm,mean_min,mean_max,rms_min,rms_max,sym_mean,anti_mean,A1_min,A1_max,A2_min,A2_max,phase1_min,phase1_max,phase2_min,phase2_max,coh_min,coh_max,lag_min,lag_max,corr_min,corr_max,fin_pair_corr,active_min,active_max,valid_min,valid_max
-0.0136673275,-13.667327499999999,12.98973540283969,12.990045636627269,0.09658678102427569,0.09658382554720632,12.989890519733486,0.00015511689376369693,0.03433712095945741,0.03432395499018446,0.023172781672125636,0.023171855309051314,-1.3069920095269452,-1.306824841207149,2.3770810314853663,2.376772313085745,0.5968179525710746,0.5970486835182658,-0.0799999999999983,-0.0799999999999983,-0.41022985838130477,-0.41017731368021637,0.9999999002735782,1.0,1.0,1.0,1.0
-0.0133211825,-13.3211825,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0
-0.012975037499999998,-12.975037499999997,21.771079351052034,21.771827201230234,0.161888425103054,0.16188201468854477,21.77145327614111,0.00037392508907381977,0.05756852063331713,0.05753930347951056,0.038815673633323465,0.038813975628065635,-1.3071128050995235,-1.3068731972095102,2.37640963114878,2.3759966679597384,0.5968273841578692,0.5971394036176083,-0.0799999999999983,-0.0799999999999983,-0.41025776898615046,-0.4101915173186882,0.999999830106148,1.0,1.0,1.0,1.0
-0.012628892499999999,-12.6288925,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0
-0.0122827475,-12.2827475,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0
-0.0119366025,-11.936602500000001,15.44576130587123,15.446189369499397,0.11481957244270076,0.11480897489938394,15.445975337685283,0.00021403181406168237,0.04085881325475981,0.04082495744817314,0.027503505066523652,0.02750153976212403,-1.3076021485282292,-1.3072177660967932,2.376202520818153,2.3755215460369237,0.5967585412049924,0.5972700924203184,-0.0799999999999983,-0.0799999999999983,-0.40955246075330576,-0.4094523249572159,0.9999995746764844,1.0,1.0,1.0,1.0
-0.011590457499999998,-11.590457499999998,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0
-0.011244312499999999,-11.2443125,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0
-0.0108981675,-10.8981675,12.045401084696106,12.04508248682312,0.08947060243828237,0.08945335935129609,12.045241785759618,-0.00015929893649558295,0.031855631153653204,0.031817431347026914,0.02143480445148019,0.021430775668027747,-1.308288125445081,-1.3077421582881283,2.378200327564398,2.3772866509308828,0.5964733082053031,0.5971783596736222,-0.0799999999999983,-0.0799999999999983,-0.40792192231774577,-0.4077919658778293,0.999999226732098,1.0,1.0,1.0,1.0
-0.010552022500000001,-10.552022500000001,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0
-0.010205877499999998,-10.205877499999998,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0
-0.0098597325,-9.8597325,10.264859128884947,10.264161053655464,0.07620706636791723,0.07618475330007855,10.264510091270207,-0.0003490376147394499,0.02713799423736203,0.027093611011170797,0.018271382356151205,0.01826555796582416,-1.3086848846108414,-1.3079222789573817,2.3801633874115256,2.378939998933062,0.5961408134562831,0.5970623731044155,-0.0799999999999983,-0.0799999999999983,-0.40693132870522475,-0.4067631455958086,0.9999986487049586,1.0,1.0,1.0,1.0
-0.0095135875,-9.5135875,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0
-0.009167442500000001,-9.167442500000002,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0
