n_modes,rel_error,captured_target_energy_pct
1,0.9749758454,4.942210092
2,0.8939286379,20.08915903
3,0.8704904924,24.22463027
4,0.8377663119,29.81476066
5,0.7729813776,40.24997899
6,0.698661045,51.18727442
7,0.595542615,64.53289938
8,0.5158516423,73.38970832
9,0.445383523,80.16335174
10,0.316522685,89.98133899
11,0.2549605191,93.49951337
12,2.478317005e-11,100
