pair,freq_Hz,coherence
probe_0_1D,0,0.6624095628
probe_0_1D,0.6153846154,0.959584366
probe_0_1D,1.230769231,0.9860083074
probe_0_1D,1.846153846,0.9842209993
probe_0_1D,2.461538462,0.318379003
probe_0_1D,3.076923077,0.7040315395
probe_0_1D,3.692307692,0.7796818938
probe_0_1D,4.307692308,0.229557444
probe_0_1D,4.923076923,0.6389838295
probe_0_1D,5.538461538,0.978573968
probe_0_1D,6.153846154,0.9973952133
probe_0_1D,6.769230769,0.9856218801
probe_0_1D,7.384615385,0.4004549991
probe_0_1D,8,0.607272893
probe_0_1D,8.615384615,0.3686955607
probe_0_1D,9.230769231,0.02326354985
probe_0_1D,9.846153846,0.003316114505
probe_0_1D,10.46153846,0.4001154879
probe_0_1D,11.07692308,0.1414757783
probe_0_1D,11.69230769,0.8927893026
probe_0_1D,12.30769231,0.989279027
probe_0_1D,12.92307692,0.9823822019
probe_0_1D,13.53846154,0.369136951
probe_0_1D,14.15384615,0.7428258581
probe_0_1D,14.76923077,0.3851065971
probe_0_1D,15.38461538,0.7757426459
probe_0_1D,16,0.8137721987
probe_0_1D,16.61538462,0.2182305469
probe_0_1D,17.23076923,0.07731136615
probe_0_1D,17.84615385,0.7203191903
probe_0_1D,18.46153846,0.9568690802
probe_0_1D,19.07692308,0.9740180727
probe_0_1D,19.69230769,0.6549043534
probe_0_1D,20.30769231,0.6459276115
probe_0_1D,20.92307692,0.4078369067
probe_0_1D,21.53846154,0.7714591212
probe_0_1D,22.15384615,0.8553930155
probe_0_1D,22.76923077,0.6285674149
probe_0_1D,23.38461538,0.2519423724
probe_0_1D,24,0.8710828285
probe_0_1D,24.61538462,0.9834256211
probe_0_1D,25.23076923,0.9888136111
probe_0_1D,25.84615385,0.880236561
probe_0_1D,26.46153846,0.5583474747
probe_0_1D,27.07692308,0.6444443983
probe_0_1D,27.69230769,0.9623814946
probe_0_1D,28.30769231,0.9374115658
probe_0_1D,28.92307692,0.7851571661
probe_0_1D,29.53846154,0.5293044363
probe_0_1D,30.15384615,0.7576549986
probe_0_1D,30.76923077,0.9663217084
probe_0_1D,31.38461538,0.9829389261
probe_0_1D,32,0.909699689
probe_0_1D,32.61538462,0.5319446446
probe_0_1D,33.23076923,0.497744552
probe_0_1D,33.84615385,0.9354514362
probe_0_1D,34.46153846,0.9316703925
probe_0_1D,35.07692308,0.8974703461
probe_0_1D,35.69230769,0.3663392796
probe_0_1D,36.30769231,0.8088326914
probe_0_1D,36.92307692,0.9799417027
probe_0_1D,37.53846154,0.9919607551
probe_0_1D,38.15384615,0.9472982272
probe_0_1D,38.76923077,0.6589839777
probe_0_1D,39.38461538,0.7811988704
probe_0_1D,40,0.9296174054
probe_0_1D,40.61538462,0.9796847905
probe_0_1D,41.23076923,0.8790578013
probe_0_1D,41.84615385,0.640206624
probe_0_1D,42.46153846,0.8680364882
