signal,freq_Hz,psd
Ux_p0,0,5.996089268e-06
Ux_p0,0.6153846154,4.198091949e-05
Ux_p0,1.230769231,2.7584056e-05
Ux_p0,1.846153846,6.450007156e-06
Ux_p0,2.461538462,2.977292106e-06
Ux_p0,3.076923077,4.419217583e-06
Ux_p0,3.692307692,2.405676356e-06
Ux_p0,4.307692308,3.58960381e-07
Ux_p0,4.923076923,4.722961555e-07
Ux_p0,5.538461538,8.193111373e-05
Ux_p0,6.153846154,0.0003921350388
Ux_p0,6.769230769,0.0001359471096
Ux_p0,7.384615385,5.553194544e-07
Ux_p0,8,2.554837448e-07
Ux_p0,8.615384615,3.124094913e-08
Ux_p0,9.230769231,3.762553659e-08
Ux_p0,9.846153846,4.399152075e-08
Ux_p0,10.46153846,1.766540532e-08
Ux_p0,11.07692308,3.536289341e-08
Ux_p0,11.69230769,1.613292776e-06
Ux_p0,12.30769231,9.975914906e-06
Ux_p0,12.92307692,4.659700524e-06
Ux_p0,13.53846154,7.585778083e-08
Ux_p0,14.15384615,7.906864055e-09
Ux_p0,14.76923077,1.294531469e-09
Ux_p0,15.38461538,5.558908053e-09
Ux_p0,16,3.477864407e-09
Ux_p0,16.61538462,5.363973962e-10
Ux_p0,17.23076923,1.44234732e-09
Ux_p0,17.84615385,1.036254387e-07
Ux_p0,18.46153846,8.135190906e-07
Ux_p0,19.07692308,4.76617025e-07
Ux_p0,19.69230769,1.101368e-08
Ux_p0,20.30769231,3.711396858e-10
Ux_p0,20.92307692,2.010596799e-10
Ux_p0,21.53846154,9.386752013e-10
Ux_p0,22.15384615,6.238009428e-10
Ux_p0,22.76923077,1.091319025e-10
Ux_p0,23.38461538,9.691576252e-11
Ux_p0,24,4.364252328e-09
Ux_p0,24.61538462,4.325054655e-08
Ux_p0,25.23076923,3.253777848e-08
Ux_p0,25.84615385,1.281105566e-09
Ux_p0,26.46153846,3.162701998e-11
Ux_p0,27.07692308,1.899311848e-11
Ux_p0,27.69230769,7.105724599e-11
Ux_p0,28.30769231,6.050352682e-11
Ux_p0,28.92307692,1.005203315e-11
Ux_p0,29.53846154,8.270471245e-12
Ux_p0,30.15384615,2.430857617e-10
Ux_p0,30.76923077,2.883226388e-09
Ux_p0,31.38461538,2.712044124e-09
Ux_p0,32,1.615960422e-10
Ux_p0,32.61538462,4.008734332e-12
Ux_p0,33.23076923,1.535362648e-12
Ux_p0,33.84615385,1.036469987e-11
Ux_p0,34.46153846,1.113247024e-11
Ux_p0,35.07692308,2.113755389e-12
Ux_p0,35.69230769,6.022037332e-13
Ux_p0,36.30769231,1.155167005e-11
Ux_p0,36.92307692,1.67840391e-10
Ux_p0,37.53846154,1.995873058e-10
Ux_p0,38.15384615,1.670876606e-11
Ux_p0,38.76923077,3.570299217e-13
Ux_p0,39.38461538,1.743688608e-13
Ux_p0,40,9.013529897e-13
Ux_p0,40.61538462,1.128589371e-12
Ux_p0,41.23076923,2.538680679e-13
Ux_p0,41.84615385,9.077156599e-14
Ux_p0,42.46153846,6.324404345e-13
Ux_p0,43.07692308,9.281439847e-12
Ux_p0,43.69230769,1.351847402e-11
Ux_p0,44.30769231,1.508809852e-12
Ux_p0,44.92307692,5.398343444e-14
Ux_p0,45.53846154,2.186716718e-14
Ux_p0,46.15384615,7.181241091e-14
Ux_p0,46.76923077,1.007475586e-13
Ux_p0,47.38461538,2.877942241e-14
Ux_p0,48,8.067005431e-15
Ux_p0,48.61538462,3.070919046e-14
Ux_p0,49.23076923,4.76951129e-13
Ux_p0,49.84615385,8.731490058e-13
Ux_p0,50.46153846,1.379924998e-13
Ux_p0,51.07692308,3.997574314e-15
Ux_p0,51.69230769,1.787488569e-15
Ux_p0,52.30769231,7.483339554e-15
Ux_p0,52.92307692,1.516176359e-14
Ux_p0,53.53846154,5.081436054e-15
Ux_p0,54.15384615,2.296020128e-15
Ux_p0,54.76923077,2.648677655e-15
Ux_p0,55.38461538,1.390806124e-14
Ux_p0,56,2.752430795e-14
Ux_p0,56.61538462,6.067394167e-15
Ux_p0,57.23076923,1.820603191e-15
Ux_p0,57.84615385,3.098581818e-15
Ux_p0,58.46153846,3.471762462e-15
Ux_p0,59.07692308,4.657938321e-15
Ux_p0,59.69230769,1.437325368e-15
Ux_p0,60.30769231,1.719088181e-15
Ux_p0,60.92307692,1.896882081e-15
Ux_p0,61.53846154,2.388479896e-15
Ux_p0,62.15384615,3.338444944e-15
Ux_p0,62.76923077,1.506560206e-15
Ux_p0,63.38461538,1.346673719e-15
Ux_p0,64,1.672190457e-15
Ux_p0,64.61538462,1.043450785e-15
Ux_p0,65.23076923,1.958353232e-15
Ux_p0,65.84615385,1.012196106e-15
Ux_p0,66.46153846,9.213062933e-16
Ux_p0,67.07692308,1.525969633e-15
Ux_p0,67.69230769,4.401818698e-15
Ux_p0,68.30769231,6.556438379e-15
Ux_p0,68.92307692,1.207795483e-15
Ux_p0,69.53846154,4.982763151e-16
Ux_p0,70.15384615,5.829310595e-16
Ux_p0,70.76923077,3.424865716e-16
Ux_p0,71.38461538,2.058658964e-15
Ux_p0,72,2.508700686e-15
Ux_p0,72.61538462,2.116339909e-15
Ux_p0,73.23076923,8.619829078e-16
Ux_p0,73.84615385,1.280727317e-15
Ux_p0,74.46153846,1.664900236e-15
Ux_p0,75.07692308,4.618424437e-16
Ux_p0,75.69230769,5.034768749e-16
Ux_p0,76.30769231,1.527868513e-15
Ux_p0,76.92307692,2.288146293e-15
Ux_p0,77.53846154,2.029273845e-15
Ux_p0,78.15384615,9.956659074e-16
Ux_p0,78.76923077,3.81294254e-16
Ux_p0,79.38461538,4.763958268e-16
Ux_p0,80,1.331034686e-15
Ux_p0,80.61538462,3.538927952e-15
Ux_p0,81.23076923,2.326448143e-15
Ux_p0,81.84615385,1.065077356e-15
Ux_p0,82.46153846,1.022726516e-15
Ux_p0,83.07692308,5.790483125e-16
Ux_p0,83.69230769,4.702513592e-16
Ux_p0,84.30769231,3.207985821e-16
Ux_p0,84.92307692,2.733546137e-16
Ux_p0,85.53846154,3.135706148e-16
Ux_p0,86.15384615,1.322266704e-15
Ux_p0,86.76923077,3.342584531e-15
Ux_p0,87.38461538,1.449714685e-15
Ux_p0,88,2.755999067e-16
Ux_p0,88.61538462,2.705543177e-16
Ux_p0,89.23076923,4.529101976e-16
Ux_p0,89.84615385,5.191712597e-16
Ux_p0,90.46153846,2.744099628e-16
Ux_p0,91.07692308,6.794723228e-16
Ux_p0,91.69230769,9.040680608e-16
Ux_p0,92.30769231,4.490095118e-16
Ux_p0,92.92307692,8.889667556e-16
Ux_p0,93.53846154,7.582451673e-16
Ux_p0,94.15384615,2.572558156e-16
Ux_p0,94.76923077,2.008829264e-16
Ux_p0,95.38461538,4.958580706e-16
Ux_p0,96,7.518217303e-16
Ux_p0,96.61538462,6.062409177e-16
Ux_p0,97.23076923,4.574013359e-16
