# Force and moment coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 1.25000000e-01
# lRef          : 1.20000000e-02
# Aref          : 1.20000000e-04
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cd(f)           	Cd(r)           	Cl              	Cl(f)           	Cl(r)           	CmPitch         	CmRoll          	CmYaw           	Cs              	Cs(f)           	Cs(r)           
1.6316147870277 	1.18575098e+00	5.92875491e-01	5.92875491e-01	-1.61953603e-03	-8.25337207e-04	-7.94198826e-04	-1.55691902e-05	2.24199339e-11	4.48015132e-10	-5.88649494e-09	-2.49523234e-09	-3.39126260e-09
1.6333623238599 	1.18567622e+00	5.92838108e-01	5.92838108e-01	-1.62866340e-03	-8.29562714e-04	-7.99100684e-04	-1.52310151e-05	-1.36696026e-10	4.57241456e-10	-5.87857878e-09	-2.48204793e-09	-3.39653084e-09
1.6351099126728 	1.18560246e+00	5.92801232e-01	5.92801232e-01	-1.63812938e-03	-8.33952670e-04	-8.04176710e-04	-1.48879803e-05	1.33034337e-10	4.10953868e-10	-5.85734626e-09	-2.51771926e-09	-3.33962700e-09
1.6368575533999 	1.18552449e+00	5.92762244e-01	5.92762245e-01	-1.64566314e-03	-8.37371932e-04	-8.08291206e-04	-1.45403634e-05	-5.30444901e-10	6.91232057e-10	-5.80255530e-09	-2.21004559e-09	-3.59250971e-09
1.6386052460071 	1.18545246e+00	5.92726231e-01	5.92726232e-01	-1.65673594e-03	-8.42555834e-04	-8.14180107e-04	-1.41878634e-05	-4.39338435e-10	7.27485320e-10	-5.76156764e-09	-2.15329850e-09	-3.60826914e-09
1.6403529904162 	1.18537569e+00	5.92687843e-01	5.92687844e-01	-1.66580626e-03	-8.46734256e-04	-8.19071999e-04	-1.38311285e-05	-6.17877270e-10	6.97847028e-10	-5.71376859e-09	-2.15903727e-09	-3.55473132e-09
1.6421007865691 	1.18530146e+00	5.92650728e-01	5.92650728e-01	-1.67370609e-03	-8.50323166e-04	-8.23382926e-04	-1.34701204e-05	3.26000116e-11	4.44766948e-10	-5.72975886e-09	-2.42011248e-09	-3.30964638e-09
1.6438486344098 	1.18522577e+00	5.92612884e-01	5.92612884e-01	-1.68140250e-03	-8.53805971e-04	-8.27596525e-04	-1.31047230e-05	-5.85001413e-11	4.07792093e-10	-5.73243608e-09	-2.45842595e-09	-3.27401014e-09
1.6455965338925 	1.18515097e+00	5.92575487e-01	5.92575487e-01	-1.68913075e-03	-8.57300348e-04	-8.31830407e-04	-1.27349706e-05	5.03570412e-11	4.92682403e-10	-5.73796841e-09	-2.37630180e-09	-3.36166661e-09
1.6473444849696 	1.18507645e+00	5.92538226e-01	5.92538226e-01	-1.69621601e-03	-8.60469023e-04	-8.35746991e-04	-1.23610156e-05	-2.27890275e-11	3.88502082e-10	-5.72589237e-09	-2.47444410e-09	-3.25144827e-09
1.6490924875939 	1.18500227e+00	5.92501137e-01	5.92501137e-01	-1.70268066e-03	-8.63323257e-04	-8.39357408e-04	-1.19829243e-05	5.14012770e-11	4.72278267e-10	-5.72532993e-09	-2.39038670e-09	-3.33494323e-09
1.6508405417205 	1.18492836e+00	5.92464179e-01	5.92464179e-01	-1.70916935e-03	-8.66185380e-04	-8.42983966e-04	-1.16007067e-05	-6.39621710e-12	3.83432703e-10	-5.70838445e-09	-2.47075952e-09	-3.23762493e-09
1.6525886473029 	1.18485438e+00	5.92427189e-01	5.92427189e-01	-1.71511920e-03	-8.68774103e-04	-8.46345095e-04	-1.12145043e-05	4.84110544e-11	4.89945054e-10	-5.70973099e-09	-2.36492044e-09	-3.34481055e-09
1.6543368042967 	1.18478064e+00	5.92390321e-01	5.92390322e-01	-1.72078808e-03	-8.71218415e-04	-8.49569666e-04	-1.08243746e-05	-5.68042180e-12	3.68542689e-10	-5.68913910e-09	-2.47602686e-09	-3.21311224e-09
1.6560850126583 	1.18470712e+00	5.92353558e-01	5.92353558e-01	-1.72602719e-03	-8.73443999e-04	-8.52583187e-04	-1.04304059e-05	7.85661745e-11	4.89238184e-10	-5.68805049e-09	-2.35478706e-09	-3.33326343e-09
1.657833272345  	1.18463423e+00	5.92317115e-01	5.92317115e-01	-1.73066874e-03	-8.75367062e-04	-8.55301680e-04	-1.00326910e-05	-3.84775510e-10	5.74954232e-10	-5.63259139e-09	-2.24134147e-09	-3.39124993e-09
1.6595815833132 	1.18455966e+00	5.92279829e-01	5.92279829e-01	-1.73388512e-03	-8.76573910e-04	-8.57311214e-04	-9.63134797e-06	-1.44077825e-10	6.30500080e-10	-5.61523239e-09	-2.17711611e-09	-3.43811627e-09
1.6613299455389 	1.18448940e+00	5.92244700e-01	5.92244701e-01	-1.73768738e-03	-8.78069946e-04	-8.59617436e-04	-9.22625491e-06	-6.04535339e-10	6.30728360e-10	-5.56324551e-09	-2.15089439e-09	-3.41235111e-09
1.6630783589736 	1.18441528e+00	5.92207640e-01	5.92207641e-01	-1.74546323e-03	-8.81548979e-04	-8.63914255e-04	-8.81736221e-06	-3.39556350e-10	8.55300558e-10	-5.52878863e-09	-1.90909376e-09	-3.61969487e-09
1.6648268235571 	1.18434202e+00	5.92171009e-01	5.92171010e-01	-1.74920678e-03	-8.83008949e-04	-8.66197836e-04	-8.40555618e-06	-1.32748216e-10	3.33624731e-10	-5.53742614e-09	-2.43508834e-09	-3.10233780e-09
1.6665753392416 	1.18426908e+00	5.92134539e-01	5.92134540e-01	-1.75212363e-03	-8.84052344e-04	-8.68071287e-04	-7.99052850e-06	-3.38983226e-10	7.66923083e-10	-5.52216677e-09	-1.99416030e-09	-3.52800647e-09
1.6683239059901 	1.18419614e+00	5.92098070e-01	5.92098071e-01	-1.75415249e-03	-8.84648450e-04	-8.69504035e-04	-7.57220760e-06	-5.31979774e-10	5.71144015e-10	-5.48095079e-09	-2.16933138e-09	-3.31161941e-09
1.6700725237734 	1.18412326e+00	5.92061631e-01	5.92061630e-01	-1.75645665e-03	-8.85378855e-04	-8.71077800e-04	-7.15052720e-06	9.80140449e-11	5.23330121e-10	-5.50362436e-09	-2.22848206e-09	-3.27514230e-09
1.6718211925649 	1.18405204e+00	5.92026019e-01	5.92026019e-01	-1.75804367e-03	-8.85747548e-04	-8.72296126e-04	-6.72571112e-06	-7.32489690e-11	3.52846618e-10	-5.49961166e-09	-2.39695921e-09	-3.10265245e-09
1.6735699123295 	1.18398058e+00	5.91990290e-01	5.91990289e-01	-1.76045588e-03	-8.86525711e-04	-8.73930168e-04	-6.29777159e-06	9.72739009e-11	5.51891922e-10	-5.51274051e-09	-2.20447833e-09	-3.30826218e-09
1.6753186830266 	1.18390856e+00	5.91954280e-01	5.91954281e-01	-1.76137456e-03	-8.86554310e-04	-8.74820247e-04	-5.86703165e-06	-4.80160522e-10	5.66970090e-10	-5.45723278e-09	-2.16164630e-09	-3.29558648e-09
1.677067504623  	1.18383716e+00	5.91918579e-01	5.91918580e-01	-1.76177547e-03	-8.86321195e-04	-8.75454278e-04	-5.43345851e-06	-3.02836591e-10	7.27583861e-10	-5.43890368e-09	-1.99186798e-09	-3.44703570e-09
1.6788163770886 	1.18376540e+00	5.91882698e-01	5.91882699e-01	-1.76104664e-03	-8.85520445e-04	-8.75526190e-04	-4.99712766e-06	-4.97738039e-10	5.73039461e-10	-5.40014260e-09	-2.12703184e-09	-3.27311076e-09
1.6805653004033 	1.18369369e+00	5.91846846e-01	5.91846846e-01	-1.76324160e-03	-8.86178636e-04	-8.77062967e-04	-4.55783451e-06	-2.11775584e-10	7.36732201e-10	-5.38877732e-09	-1.95765646e-09	-3.43112086e-09
1.6823142745307 	1.18362218e+00	5.91811088e-01	5.91811089e-01	-1.76278458e-03	-8.85508527e-04	-8.77276051e-04	-4.11623797e-06	-5.18029591e-10	5.85400701e-10	-5.35974075e-09	-2.09446967e-09	-3.26527107e-09
1.6840632994402 	1.18355118e+00	5.91775592e-01	5.91775593e-01	-1.76128418e-03	-8.84314326e-04	-8.76969857e-04	-3.67223467e-06	-2.67863159e-10	7.06315784e-10	-5.35223494e-09	-1.96980169e-09	-3.38243325e-09
1.6858123751079 	1.18348011e+00	5.91740053e-01	5.91740053e-01	-1.75987405e-03	-8.83162766e-04	-8.76711282e-04	-3.22574202e-06	-7.29184716e-11	3.67035440e-10	-5.35412428e-09	-2.31002670e-09	-3.04409758e-09
1.6875615015127 	1.18340898e+00	5.91704488e-01	5.91704488e-01	-1.75879894e-03	-8.82176343e-04	-8.76622594e-04	-2.77687438e-06	1.25710584e-11	6.43875163e-10	-5.36474401e-09	-2.03849684e-09	-3.32624717e-09
1.6893106786306 	1.18333783e+00	5.91668915e-01	5.91668916e-01	-1.75666978e-03	-8.80660767e-04	-8.76009017e-04	-2.32587472e-06	-4.00405696e-10	5.44748064e-10	-5.31808448e-09	-2.11429418e-09	-3.20379030e-09
1.6910599064426 	1.18326807e+00	5.91634036e-01	5.91634037e-01	-1.75359875e-03	-8.78672169e-04	-8.74926583e-04	-1.87279307e-06	-3.43895044e-10	7.30430744e-10	-5.31799640e-09	-1.92856746e-09	-3.38942894e-09
1.6928091849252 	1.18319770e+00	5.91598849e-01	5.91598850e-01	-1.75015410e-03	-8.76494697e-04	-8.73659408e-04	-1.41764479e-06	-4.38796195e-10	5.45036601e-10	-5.27315841e-09	-2.09154261e-09	-3.18161581e-09
